#Step   Etot   PotE Ktot  T
0 0.818307 -2.635352  3.453659 3.45
1 0.818297 -2.627100  3.445397 3.45
2 0.818272 -2.613235  3.431506 3.43
3 0.818233 -2.593474  3.411707 3.41
4 0.818179 -2.567378  3.385557 3.39
5 0.818113 -2.534353  3.352466 3.35
6 0.818035 -2.493673  3.311708 3.31
7 0.817949 -2.444511  3.262461 3.26
8 0.817862 -2.385998  3.203859 3.20
9 0.817782 -2.317321  3.135103 3.14
10 0.817727 -2.237890  3.055617 3.06
11 0.817717 -2.147568  2.965285 2.97
12 0.817774 -2.046967  2.864741 2.86
13 0.817915 -1.937756  2.755671 2.76
14 0.818139 -1.822851  2.640990 2.64
15 0.818415 -1.706341  2.524757 2.52
16 0.818692 -1.593013  2.411705 2.41
17 0.818911 -1.487536  2.306447 2.31
18 0.819035 -1.393596  2.212632 2.21
19 0.819065 -1.313353  2.132418 2.13
20 0.819030 -1.247430  2.066460 2.07
21 0.818965 -1.195328  2.014293 2.01
22 0.818893 -1.155951  1.974844 1.97
23 0.818824 -1.127990  1.946814 1.95
24 0.818756 -1.110099  1.928855 1.93
25 0.818689 -1.100930  1.919619 1.92
26 0.818625 -1.099150  1.917775 1.92
27 0.818571 -1.103494  1.922064 1.92
28 0.818531 -1.112856  1.931388 1.93
29 0.818509 -1.126380  1.944889 1.94
30 0.818500 -1.143476  1.961975 1.96
31 0.818493 -1.163759  1.982252 1.98
32 0.818479 -1.186897  2.005376 2.01
33 0.818451 -1.212455  2.030906 2.03
34 0.818410 -1.239800  2.058210 2.06
35 0.818362 -1.268114  2.086476 2.09
36 0.818316 -1.296494  2.114810 2.11
37 0.818279 -1.324087  2.142366 2.14
38 0.818253 -1.350190  2.168443 2.17
39 0.818240 -1.374312  2.192551 2.19
40 0.818242 -1.396201  2.214443 2.21
41 0.818265 -1.415897  2.234162 2.23
42 0.818316 -1.433801  2.252117 2.25
43 0.818397 -1.450765  2.269161 2.27
44 0.818498 -1.468085  2.286583 2.29
45 0.818595 -1.487342  2.305937 2.31
46 0.818654 -1.510008  2.328662 2.33
47 0.818648 -1.536940  2.355588 2.36
48 0.818574 -1.567991  2.386564 2.39
49 0.818455 -1.601962  2.420417 2.42
50 0.818328 -1.636944  2.455272 2.46
51 0.818223 -1.670855  2.489079 2.49
52 0.818158 -1.701917  2.520075 2.52
53 0.818132 -1.728919  2.547052 2.55
54 0.818139 -1.751262  2.569401 2.57
55 0.818166 -1.768858  2.587025 2.59
56 0.818204 -1.781982  2.600186 2.60
57 0.818244 -1.791111  2.609355 2.61
