#Step   Etot   PotE Ktot  T
0 0.818295 -2.635669  3.453964 3.45
1 0.818276 -2.628280  3.446556 3.45
2 0.818243 -2.615711  3.433954 3.43
3 0.818196 -2.597583  3.415779 3.42
4 0.818135 -2.573358  3.391493 3.39
5 0.818059 -2.542348  3.360408 3.36
6 0.817972 -2.503723  3.321695 3.32
7 0.817876 -2.456549  3.274425 3.27
8 0.817780 -2.399859  3.217639 3.22
9 0.817697 -2.332781  3.150477 3.15
10 0.817646 -2.254742  3.072388 3.07
11 0.817654 -2.165763  2.983417 2.98
12 0.817748 -2.066821  2.884569 2.88
13 0.817944 -1.960209  2.778152 2.78
14 0.818236 -1.849733  2.667970 2.67
15 0.818585 -1.740559  2.559145 2.56
16 0.818920 -1.638555  2.457475 2.46
17 0.819167 -1.549232  2.368399 2.37
18 0.819281 -1.476642  2.295923 2.30
19 0.819263 -1.422713  2.241975 2.24
20 0.819151 -1.387250  2.206402 2.21
21 0.818995 -1.368495  2.187490 2.19
22 0.818830 -1.363838  2.182668 2.18
23 0.818674 -1.370397  2.189071 2.19
24 0.818530 -1.385337  2.203867 2.20
25 0.818396 -1.405975  2.224371 2.22
26 0.818269 -1.429792  2.248061 2.25
27 0.818144 -1.454405  2.272549 2.27
28 0.818020 -1.477545  2.295565 2.30
29 0.817898 -1.497061  2.314959 2.31
30 0.817782 -1.510954  2.328736 2.33
31 0.817681 -1.517457  2.335138 2.34
32 0.817611 -1.515186  2.332797 2.33
33 0.817597 -1.503396  2.320993 2.32
34 0.817672 -1.482354  2.300026 2.30
35 0.817862 -1.453778  2.271640 2.27
36 0.818156 -1.421132  2.239288 2.24
37 0.818485 -1.389379  2.207864 2.21
38 0.818720 -1.363854  2.182575 2.18
39 0.818746 -1.348385  2.167131 2.17
40 0.818542 -1.343632  2.162174 2.16
41 0.818206 -1.346827  2.165034 2.17
42 0.817880 -1.353137  2.171017 2.17
43 0.817673 -1.357735  2.175408 2.18
44 0.817633 -1.357463  2.175095 2.18
45 0.817753 -1.351608  2.169361 2.17
46 0.817989 -1.341863  2.159853 2.16
47 0.818267 -1.331663  2.149930 2.15
48 0.818500 -1.325061  2.143561 2.14
49 0.818626 -1.325454  2.144081 2.14
50 0.818635 -1.334647  2.153282 2.15
51 0.818562 -1.352643  2.171204 2.17
52 0.818456 -1.378120  2.196576 2.20
53 0.818350 -1.409133  2.227483 2.23
54 0.818251 -1.443603  2.261855 2.26
55 0.818157 -1.479495  2.297652 2.30
56 0.818066 -1.514822  2.332888 2.33
57 0.817986 -1.547680  2.365666 2.37
58 0.817927 -1.576372  2.394300 2.39
59 0.817899 -1.599583  2.417482 2.42
