#Step   Etot   PotE Ktot  T
0 -0.994607 -2.637031  1.642424 1.64
1 -0.994611 -2.633789  1.639178 1.64
2 -0.994616 -2.628338  1.633721 1.63
3 -0.994623 -2.620621  1.625998 1.63
4 -0.994631 -2.610567  1.615936 1.62
5 -0.994640 -2.598094  1.603453 1.60
6 -0.994650 -2.583109  1.588459 1.59
7 -0.994660 -2.565519  1.570859 1.57
8 -0.994670 -2.545236  1.550566 1.55
9 -0.994679 -2.522184  1.527505 1.53
10 -0.994685 -2.496315  1.501629 1.50
11 -0.994689 -2.467620  1.472931 1.47
12 -0.994687 -2.436148  1.441460 1.44
13 -0.994680 -2.402021  1.407340 1.41
14 -0.994666 -2.365453  1.370787 1.37
15 -0.994644 -2.326768  1.332124 1.33
16 -0.994613 -2.286409  1.291795 1.29
17 -0.994575 -2.244943  1.250368 1.25
18 -0.994529 -2.203058  1.208529 1.21
19 -0.994478 -2.161544  1.167066 1.17
20 -0.994424 -2.121257  1.126833 1.13
21 -0.994373 -2.083081  1.088708 1.09
22 -0.994326 -2.047864  1.053538 1.05
23 -0.994288 -2.016368  1.022079 1.02
24 -0.994262 -1.989207  0.994945 0.99
25 -0.994250 -1.966808  0.972558 0.97
26 -0.994252 -1.949382  0.955130 0.96
27 -0.994267 -1.936917  0.942650 0.94
28 -0.994293 -1.929192  0.934899 0.93
29 -0.994327 -1.925807  0.931480 0.93
30 -0.994367 -1.926226  0.931859 0.93
31 -0.994409 -1.929821  0.935412 0.94
32 -0.994450 -1.935925  0.941475 0.94
33 -0.994489 -1.943870  0.949382 0.95
34 -0.994523 -1.953028  0.958505 0.96
35 -0.994551 -1.962834  0.968283 0.97
36 -0.994573 -1.972808  0.978235 0.98
37 -0.994590 -1.982566  0.987976 0.99
38 -0.994600 -1.991816  0.997216 1.00
39 -0.994605 -2.000360  1.005754 1.01
40 -0.994606 -2.008079  1.013473 1.01
41 -0.994604 -2.014928  1.020324 1.02
42 -0.994599 -2.020913  1.026314 1.03
43 -0.994593 -2.026087  1.031495 1.03
44 -0.994585 -2.030536  1.035951 1.04
45 -0.994576 -2.034367  1.039791 1.04
46 -0.994567 -2.037708  1.043142 1.04
47 -0.994557 -2.040696  1.046139 1.05
48 -0.994548 -2.043473  1.048924 1.05
49 -0.994540 -2.046173  1.051633 1.05
50 -0.994533 -2.048919  1.054386 1.05
51 -0.994529 -2.051806  1.057277 1.06
52 -0.994528 -2.054894  1.060366 1.06
53 -0.994529 -2.058202  1.063673 1.06
54 -0.994533 -2.061707  1.067174 1.07
55 -0.994539 -2.065346  1.070807 1.07
56 -0.994547 -2.069021  1.074475 1.07
57 -0.994556 -2.072611  1.078055 1.08
58 -0.994565 -2.075976  1.081411 1.08
59 -0.994574 -2.078971  1.084398 1.08
