#Step   Etot   PotE Ktot  T
0 -0.994611 -2.636690  1.642078 1.64
1 -0.994620 -2.632389  1.637769 1.64
2 -0.994630 -2.625096  1.630465 1.63
3 -0.994639 -2.614660  1.620021 1.62
4 -0.994642 -2.600892  1.606249 1.61
5 -0.994634 -2.583562  1.588928 1.59
6 -0.994608 -2.562412  1.567804 1.57
7 -0.994555 -2.537158  1.542604 1.54
8 -0.994464 -2.507511  1.513047 1.51
9 -0.994325 -2.473203  1.478878 1.48
10 -0.994123 -2.434019  1.439896 1.44
11 -0.993844 -2.389851  1.396007 1.40
12 -0.993473 -2.340759  1.347287 1.35
13 -0.992995 -2.287045  1.294050 1.29
14 -0.992397 -2.229324  1.236927 1.24
15 -0.991671 -2.168583  1.176912 1.18
16 -0.990816 -2.106201  1.115386 1.12
17 -0.989835 -2.043901  1.054066 1.05
18 -0.988742 -1.983631  0.994889 0.99
19 -0.987551 -1.927381  0.939830 0.94
20 -0.986276 -1.876969  0.890693 0.89
21 -0.984924 -1.833854  0.848931 0.85
22 -0.983495 -1.799021  0.815527 0.82
23 -0.981980 -1.772944  0.790964 0.79
24 -0.980365 -1.755628  0.775263 0.78
25 -0.978631 -1.746690  0.768059 0.77
26 -0.976756 -1.745451  0.768695 0.77
27 -0.974718 -1.751030  0.776312 0.78
28 -0.972492 -1.762416  0.789923 0.79
29 -0.970058 -1.778538  0.808480 0.81
30 -0.967392 -1.798317  0.830925 0.83
31 -0.964476 -1.820707  0.856231 0.86
32 -0.961295 -1.844733  0.883438 0.88
33 -0.957835 -1.869511  0.911676 0.91
34 -0.954089 -1.894270  0.940180 0.94
35 -0.950051 -1.918357  0.968306 0.97
36 -0.945720 -1.941249  0.995529 1.00
37 -0.941098 -1.962545  1.021447 1.02
38 -0.936189 -1.981962  1.045772 1.05
39 -0.931003 -1.999319  1.068316 1.07
40 -0.925547 -2.014519  1.088971 1.09
41 -0.919834 -2.027517  1.107683 1.11
42 -0.913875 -2.038295  1.124420 1.12
43 -0.907681 -2.046830  1.139149 1.14
44 -0.901265 -2.053084  1.151819 1.15
45 -0.894636 -2.056993  1.162357 1.16
46 -0.887806 -2.058487  1.170681 1.17
47 -0.880784 -2.057517  1.176734 1.18
48 -0.873581 -2.054097  1.180516 1.18
49 -0.866209 -2.048345  1.182135 1.18
50 -0.858679 -2.040521  1.181842 1.18
51 -0.851001 -2.031061  1.180060 1.18
52 -0.843185 -2.020590  1.177404 1.18
53 -0.835239 -2.009911  1.174672 1.17
54 -0.827167 -1.999977  1.172810 1.17
55 -0.818971 -1.991807  1.172836 1.17
56 -0.810647 -1.986378  1.175731 1.18
57 -0.802185 -1.984478  1.182294 1.18
58 -0.793564 -1.986572  1.193008 1.19
59 -0.784758 -1.992703  1.207945 1.21
60 -0.775732 -2.002480  1.226747 1.23
61 -0.766450 -2.015140  1.248690 1.25
62 -0.756880 -2.029683  1.272803 1.27
63 -0.747001 -2.045023  1.298023 1.30
64 -0.736801 -2.060124  1.323323 1.32
65 -0.726281 -2.074092  1.347811 1.35
66 -0.715452 -2.086226  1.370774 1.37
67 -0.704332 -2.096025  1.391692 1.39
68 -0.692946 -2.103166  1.410220 1.41
69 -0.681319 -2.107473  1.426154 1.43
70 -0.669479 -2.108881  1.439402 1.44
71 -0.657453 -2.107401  1.449947 1.45
72 -0.645267 -2.103099  1.457831 1.46
73 -0.632946 -2.096083  1.463138 1.46
74 -0.620512 -2.086500  1.465988 1.47
75 -0.607986 -2.074534  1.466548 1.47
76 -0.595388 -2.060418  1.465030 1.47
77 -0.582733 -2.044438  1.461704 1.46
78 -0.570038 -2.026938  1.456900 1.46
79 -0.557313 -2.008317  1.451005 1.45
80 -0.544567 -1.989023  1.444456 1.44
81 -0.531805 -1.969538  1.437732 1.44
82 -0.519028 -1.950359  1.431330 1.43
83 -0.506234 -1.931980  1.425746 1.43
84 -0.493414 -1.914865  1.421451 1.42
85 -0.480560 -1.899417  1.418857 1.42
86 -0.467656 -1.885944  1.418288 1.42
87 -0.454687 -1.874627  1.419940 1.42
88 -0.441635 -1.865486  1.423852 1.42
89 -0.428478 -1.858364  1.429886 1.43
90 -0.415196 -1.852931  1.437734 1.44
91 -0.401772 -1.848719  1.446947 1.45
92 -0.388191 -1.845178  1.456987 1.46
93 -0.374442 -1.841737  1.467294 1.47
94 -0.360524 -1.837876  1.477352 1.48
95 -0.346440 -1.833175  1.486736 1.49
96 -0.332199 -1.827346  1.495147 1.50
97 -0.317814 -1.820229  1.502415 1.50
98 -0.303303 -1.811777  1.508473 1.51
99 -0.288684 -1.802001  1.513317 1.51
100 -0.273972 -1.790922  1.516951 1.52
101 -0.259183 -1.778521  1.519339 1.52
102 -0.244330 -1.764710  1.520381 1.52
103 -0.229423 -1.749343  1.519919 1.52
104 -0.214473 -1.732258  1.517784 1.52
105 -0.199489 -1.713356  1.513866 1.51
106 -0.184481 -1.692693  1.508212 1.51
107 -0.169454 -1.670592  1.501137 1.50
108 -0.154407 -1.647780  1.493373 1.49
109 -0.139324 -1.625603  1.486279 1.49
110 -0.124186 -1.606266  1.482080 1.48
111 -0.108991 -1.592897  1.483906 1.48
112 -0.093758 -1.589058  1.495300 1.50
113 -0.078495 -1.597526  1.519031 1.52
114 -0.063127 -1.618828  1.555701 1.56
115 -0.047476 -1.650621  1.603145 1.60
116 -0.031332 -1.688507  1.657175 1.66
117 -0.014556 -1.727726  1.713170 1.71
118 0.002876 -1.764579  1.767454 1.77
119 0.020895 -1.796955  1.817851 1.82
120 0.039398 -1.824119  1.863517 1.86
121 0.058274 -1.846181  1.904455 1.90
122 0.077431 -1.863604  1.941035 1.94
123 0.096792 -1.876884  1.973677 1.97
124 0.116300 -1.886403  2.002704 2.00
125 0.135908 -1.892433  2.028340 2.03
126 0.155575 -1.895237  2.050812 2.05
127 0.175265 -1.895226  2.070491 2.07
128 0.194939 -1.893080  2.088019 2.09
129 0.214553 -1.889756  2.104309 2.10
130 0.234061 -1.886321  2.120382 2.12
131 0.253424 -1.883623  2.137046 2.14
132 0.272618 -1.881913  2.154531 2.15
133 0.291641 -1.880627  2.172269 2.17
134 0.310503 -1.878440  2.188943 2.19
135 0.329205 -1.873566  2.202770 2.20
136 0.347732 -1.864152  2.211884 2.21
137 0.366047 -1.848610  2.214657 2.21
138 0.384100 -1.825819  2.209919 2.21
139 0.401837 -1.795240  2.197077 2.20
140 0.419213 -1.757018  2.176231 2.18
141 0.436193 -1.712132  2.148325 2.15
142 0.452749 -1.662550  2.115299 2.12
143 0.468855 -1.611273  2.080128 2.08
144 0.484474 -1.562064  2.046538 2.05
145 0.499581 -1.518748  2.018329 2.02
146 0.514183 -1.484251  1.998434 2.00
147 0.528344 -1.459818  1.988162 1.99
148 0.542176 -1.444853  1.987030 1.99
149 0.555798 -1.437411  1.993208 1.99
150 0.569293 -1.434954  2.004248 2.00
151 0.582703 -1.434953  2.017656 2.02
152 0.596036 -1.435160  2.031196 2.03
153 0.609286 -1.433692  2.042978 2.04
154 0.622444 -1.429106  2.051550 2.05
155 0.635500 -1.420572  2.056073 2.06
156 0.648444 -1.408140  2.056584 2.06
157 0.661254 -1.392979  2.054233 2.05
158 0.673893 -1.377404  2.051297 2.05
159 0.686309 -1.364522  2.050831 2.05
160 0.698453 -1.357474  2.055927 2.06
161 0.710308 -1.358492  2.068800 2.07
162 0.721905 -1.368202  2.090108 2.09
163 0.733317 -1.385547  2.118864 2.12
164 0.744622 -1.408334  2.152956 2.15
165 0.755872 -1.434086  2.189958 2.19
166 0.767077 -1.460778  2.227855 2.23
167 0.778206 -1.487213  2.265419 2.27
168 0.789205 -1.513014  2.302220 2.30
169 0.800011 -1.538353  2.338364 2.34
170 0.810561 -1.563553  2.374114 2.37
171 0.820807 -1.588728  2.409535 2.41
172 0.830716 -1.613586  2.444301 2.44
173 0.840266 -1.637462  2.477728 2.48
174 0.849438 -1.659553  2.508991 2.51
175 0.858204 -1.679197  2.537401 2.54
176 0.866524 -1.696066  2.562590 2.56
177 0.874350 -1.710197  2.584548 2.58
178 0.881635 -1.721868  2.603503 2.60
179 0.888335 -1.731410  2.619745 2.62
180 0.894420 -1.739041  2.633461 2.63
181 0.899869 -1.744785  2.644654 2.64
182 0.904670 -1.748500  2.653170 2.65
183 0.908816 -1.749978  2.658794 2.66
184 0.912305 -1.749080  2.661385 2.66
185 0.915130 -1.745848  2.660978 2.66
186 0.917286 -1.740538  2.657823 2.66
187 0.918761 -1.733562  2.652323 2.65
188 0.919547 -1.725322  2.644869 2.64
189 0.919639 -1.715999  2.635638 2.64
190 0.919045 -1.705371  2.624416 2.62
191 0.917789 -1.692783  2.610572 2.61
192 0.915908 -1.677302  2.593210 2.59
193 0.913451 -1.658036  2.571488 2.57
194 0.910468 -1.634522  2.544990 2.54
195 0.907006 -1.607049  2.514055 2.51
196 0.903106 -1.576858  2.479964 2.48
197 0.898794 -1.546143  2.444937 2.44
198 0.894079 -1.517818  2.411897 2.41
199 0.888948 -1.495054  2.384003 2.38
200 0.883377 -1.480641  2.364018 2.36
201 0.877337 -1.476352  2.353689 2.35
202 0.870813 -1.482519  2.353332 2.35
203 0.863801 -1.497989  2.361790 2.36
204 0.856307 -1.520458  2.376765 2.38
205 0.848335 -1.547030  2.395364 2.40
206 0.839879 -1.574777  2.414656 2.41
207 0.830931 -1.601150  2.432081 2.43
208 0.821480 -1.624172  2.445651 2.45
209 0.811519 -1.642465  2.453985 2.45
210 0.801057 -1.655197  2.456254 2.46
211 0.790110 -1.662004  2.452114 2.45
212 0.778712 -1.662944  2.441656 2.44
213 0.766899 -1.658481  2.425380 2.43
214 0.754716 -1.649470  2.404185 2.40
215 0.742200 -1.637121  2.379321 2.38
216 0.729386 -1.622907  2.352292 2.35
217 0.716295 -1.608390  2.324685 2.32
218 0.702943 -1.595010  2.297954 2.30
219 0.689340 -1.583869  2.273209 2.27
220 0.675493 -1.575579  2.251072 2.25
221 0.661413 -1.570228  2.231641 2.23
222 0.647109 -1.567459  2.214568 2.21
223 0.632595 -1.566622  2.199217 2.20
224 0.617881 -1.566961  2.184842 2.18
225 0.602980 -1.567767  2.170747 2.17
226 0.587905 -1.568488  2.156393 2.16
227 0.572668 -1.568780  2.141448 2.14
228 0.557283 -1.568505  2.125788 2.13
229 0.541762 -1.567697  2.109459 2.11
230 0.526116 -1.566490  2.092606 2.09
231 0.510356 -1.565038  2.075394 2.08
232 0.494493 -1.563416  2.057909 2.06
233 0.478539 -1.561556  2.040095 2.04
234 0.462511 -1.559211  2.021722 2.02
235 0.446434 -1.555996  2.002430 2.00
236 0.430338 -1.551497  1.981835 1.98
237 0.414256 -1.545409  1.959665 1.96
238 0.398220 -1.537657  1.935876 1.94
239 0.382255 -1.528454  1.910708 1.91
240 0.366381 -1.518271  1.884652 1.88
241 0.350613 -1.507738  1.858351 1.86
242 0.334959 -1.497503  1.832462 1.83
243 0.319427 -1.488115  1.807542 1.81
244 0.304025 -1.479972  1.783997 1.78
245 0.288759 -1.473342  1.762101 1.76
246 0.273637 -1.468464  1.742100 1.74
247 0.258660 -1.465676  1.724336 1.72
248 0.243820 -1.465530  1.709351 1.71
249 0.229098 -1.468823  1.697921 1.70
250 0.214452 -1.476516  1.690968 1.69
251 0.199830 -1.489533  1.689363 1.69
252 0.185168 -1.508491  1.693659 1.69
253 0.170403 -1.533446  1.703849 1.70
254 0.155482 -1.563762  1.719243 1.72
255 0.140363 -1.598140  1.738503 1.74
256 0.125023 -1.634813  1.759835 1.76
257 0.109449 -1.671816  1.781265 1.78
