#Step   Etot   PotE Ktot  T
0 -0.994606 -2.636840  1.642234 1.64
1 -0.994608 -2.633036  1.638428 1.64
2 -0.994612 -2.626673  1.632062 1.63
3 -0.994617 -2.617714  1.623096 1.62
4 -0.994624 -2.606102  1.611478 1.61
5 -0.994632 -2.591772  1.597140 1.60
6 -0.994641 -2.574647  1.580006 1.58
7 -0.994651 -2.554647  1.559996 1.56
8 -0.994660 -2.531694  1.537034 1.54
9 -0.994668 -2.505721  1.511053 1.51
10 -0.994675 -2.476682  1.482006 1.48
11 -0.994680 -2.444559  1.449879 1.45
12 -0.994681 -2.409382  1.414701 1.41
13 -0.994678 -2.371235  1.376557 1.38
14 -0.994669 -2.330279  1.335610 1.34
15 -0.994654 -2.286760  1.292107 1.29
16 -0.994631 -2.241028  1.246397 1.25
17 -0.994600 -2.193542  1.198941 1.20
18 -0.994562 -2.144881  1.150319 1.15
19 -0.994516 -2.095741  1.101226 1.10
20 -0.994464 -2.046924  1.052460 1.05
21 -0.994408 -1.999314  1.004906 1.00
22 -0.994350 -1.953850  0.959500 0.96
23 -0.994294 -1.911483  0.917189 0.92
24 -0.994244 -1.873121  0.878877 0.88
25 -0.994202 -1.839584  0.845382 0.85
26 -0.994171 -1.811547  0.817376 0.82
27 -0.994154 -1.789501  0.795347 0.80
28 -0.994152 -1.773721  0.779569 0.78
29 -0.994164 -1.764250  0.770086 0.77
30 -0.994189 -1.760905  0.766716 0.77
31 -0.994225 -1.763291  0.769066 0.77
32 -0.994270 -1.770834  0.776564 0.78
33 -0.994321 -1.782821  0.788500 0.79
34 -0.994375 -1.798442  0.804067 0.80
35 -0.994429 -1.816837  0.822408 0.82
36 -0.994480 -1.837136  0.842656 0.84
37 -0.994528 -1.858494  0.863966 0.86
38 -0.994571 -1.880124  0.885553 0.89
39 -0.994608 -1.901314  0.906706 0.91
40 -0.994638 -1.921452  0.926815 0.93
41 -0.994660 -1.940032  0.945372 0.95
42 -0.994675 -1.956664  0.961988 0.96
43 -0.994683 -1.971076  0.976394 0.98
44 -0.994683 -1.983120  0.988437 0.99
45 -0.994676 -1.992763  0.998087 1.00
46 -0.994663 -2.000084  1.005421 1.01
47 -0.994644 -2.005266  1.010622 1.01
48 -0.994621 -2.008582  1.013961 1.01
49 -0.994595 -2.010376  1.015781 1.02
50 -0.994568 -2.011042  1.016475 1.02
51 -0.994540 -2.011000  1.016459 1.02
52 -0.994515 -2.010665  1.016150 1.02
53 -0.994494 -2.010425  1.015931 1.02
54 -0.994478 -2.010612  1.016134 1.02
55 -0.994467 -2.011483  1.017016 1.02
56 -0.994463 -2.013209  1.018746 1.02
57 -0.994464 -2.015870  1.021406 1.02
58 -0.994470 -2.019460  1.024990 1.02
59 -0.994480 -2.023897  1.029417 1.03
60 -0.994492 -2.029044  1.034552 1.03
61 -0.994505 -2.034726  1.040221 1.04
62 -0.994518 -2.040749  1.046231 1.05
63 -0.994530 -2.046918  1.052388 1.05
64 -0.994541 -2.053046  1.058505 1.06
65 -0.994551 -2.058965  1.064415 1.06
66 -0.994559 -2.064526  1.069967 1.07
67 -0.994566 -2.069602  1.075036 1.08
68 -0.994570 -2.074088  1.079518 1.08
69 -0.994574 -2.077906  1.083332 1.08
70 -0.994575 -2.081003  1.086428 1.09
71 -0.994574 -2.083354  1.088780 1.09
72 -0.994572 -2.084966  1.090394 1.09
73 -0.994568 -2.085872  1.091304 1.09
74 -0.994563 -2.086131  1.091568 1.09
75 -0.994557 -2.085822  1.091264 1.09
76 -0.994552 -2.085032  1.090480 1.09
77 -0.994546 -2.083852  1.089306 1.09
78 -0.994542 -2.082370  1.087827 1.09
79 -0.994539 -2.080659  1.086120 1.09
80 -0.994537 -2.078781  1.084244 1.08
81 -0.994535 -2.076783  1.082247 1.08
82 -0.994534 -2.074700  1.080165 1.08
83 -0.994534 -2.072561  1.078027 1.08
84 -0.994533 -2.070394  1.075862 1.08
85 -0.994531 -2.068234  1.073703 1.07
86 -0.994528 -2.066127  1.071599 1.07
87 -0.994524 -2.064133  1.069609 1.07
88 -0.994519 -2.062332  1.067813 1.07
89 -0.994513 -2.060813  1.066300 1.07
90 -0.994508 -2.059676  1.065168 1.07
91 -0.994503 -2.059018  1.064515 1.06
92 -0.994499 -2.058925  1.064426 1.06
93 -0.994497 -2.059464  1.064967 1.06
94 -0.994497 -2.060674  1.066176 1.07
95 -0.994500 -2.062559  1.068059 1.07
96 -0.994504 -2.065093  1.070589 1.07
97 -0.994510 -2.068219  1.073710 1.07
98 -0.994516 -2.071861  1.077345 1.08
99 -0.994523 -2.075926  1.081403 1.08
100 -0.994529 -2.080318  1.085789 1.09
101 -0.994534 -2.084946  1.090412 1.09
102 -0.994539 -2.089728  1.095189 1.10
103 -0.994542 -2.094598  1.100056 1.10
104 -0.994544 -2.099506  1.104962 1.10
105 -0.994545 -2.104417  1.109872 1.11
106 -0.994546 -2.109313  1.114768 1.11
107 -0.994546 -2.114183  1.119637 1.12
108 -0.994546 -2.119018  1.124471 1.12
109 -0.994548 -2.123804  1.129256 1.13
110 -0.994552 -2.128511  1.133959 1.13
111 -0.994558 -2.133080  1.138522 1.14
112 -0.994567 -2.137418  1.142851 1.14
113 -0.994578 -2.141391  1.146812 1.15
114 -0.994593 -2.144822  1.150230 1.15
115 -0.994609 -2.147503  1.152894 1.15
116 -0.994625 -2.149199  1.154574 1.15
117 -0.994641 -2.149677  1.155036 1.16
118 -0.994655 -2.148719  1.154065 1.15
119 -0.994664 -2.146153  1.151489 1.15
120 -0.994667 -2.141872  1.147205 1.15
121 -0.994665 -2.135857  1.141193 1.14
122 -0.994655 -2.128191  1.133536 1.13
123 -0.994639 -2.119061  1.124422 1.12
124 -0.994617 -2.108757  1.114139 1.11
125 -0.994593 -2.097644  1.103051 1.10
126 -0.994567 -2.086135  1.091568 1.09
127 -0.994544 -2.074650  1.080106 1.08
128 -0.994525 -2.063575  1.069050 1.07
129 -0.994511 -2.053234  1.058722 1.06
130 -0.994502 -2.043871  1.049369 1.05
131 -0.994498 -2.035654  1.041157 1.04
132 -0.994496 -2.028681  1.034185 1.03
133 -0.994497 -2.022992  1.028495 1.03
134 -0.994500 -2.018584  1.024084 1.02
135 -0.994507 -2.015409  1.020902 1.02
136 -0.994516 -2.013374  1.018859 1.02
137 -0.994527 -2.012342  1.017814 1.02
