#Step   Etot   PotE Ktot  T
0 0.818302 -2.635823  3.454125 3.45
1 0.820578 -2.628958  3.449536 3.45
2 0.820565 -2.617431  3.437996 3.44
3 0.820544 -2.601094  3.421639 3.42
4 0.820519 -2.579727  3.400245 3.40
5 0.820488 -2.553051  3.373539 3.37
6 0.820453 -2.520745  3.341198 3.34
7 0.820417 -2.482454  3.302871 3.30
8 0.820380 -2.437825  3.258205 3.26
9 0.820346 -2.386531  3.206876 3.21
10 0.820318 -2.328316  3.148634 3.15
11 1.128067 -2.259674  3.387740 3.39
12 1.128058 -2.183120  3.311177 3.31
13 1.128073 -2.098906  3.226979 3.23
14 1.128117 -2.007664  3.135780 3.14
15 1.128196 -1.910482  3.038678 3.04
16 1.128311 -1.808975  2.937287 2.94
17 1.128460 -1.705292  2.833752 2.83
18 1.128632 -1.602054  2.730686 2.73
19 1.128813 -1.502213  2.631026 2.63
20 1.128985 -1.408813  2.537798 2.54
21 2.047753 -1.308924  3.356677 3.36
22 2.047868 -1.219160  3.267028 3.27
23 2.047925 -1.141542  3.189467 3.19
24 2.047918 -1.077205  3.125122 3.13
25 2.047848 -1.026309  3.074157 3.07
26 2.047725 -0.988078  3.035804 3.04
27 2.047567 -0.960959  3.008526 3.01
28 2.047400 -0.942897  2.990297 2.99
29 2.047259 -0.931743  2.979001 2.98
30 2.047181 -0.925758  2.972939 2.97
31 2.530659 -0.922718  3.453377 3.45
32 2.530783 -0.922362  3.453145 3.45
33 2.530961 -0.926806  3.457767 3.46
34 2.531080 -0.938801  3.469880 3.47
35 2.531042 -0.960085  3.491127 3.49
36 2.530848 -0.990047  3.520895 3.52
37 2.530584 -1.025698  3.556282 3.56
38 2.530351 -1.062903  3.593253 3.59
39 2.530199 -1.097844  3.628042 3.63
40 2.530121 -1.127813  3.657934 3.66
41 2.328563 -1.151040  3.479603 3.48
42 2.328560 -1.168046  3.496606 3.50
43 2.328579 -1.178579  3.507158 3.51
44 2.328621 -1.182827  3.511448 3.51
45 2.328684 -1.181408  3.510092 3.51
46 2.328762 -1.175333  3.504095 3.50
47 2.328847 -1.165903  3.494750 3.49
48 2.328930 -1.154570  3.483499 3.48
49 2.329009 -1.142805  3.471815 3.47
50 2.329084 -1.132042  3.461126 3.46
51 2.324434 -1.123653  3.448087 3.45
52 2.324483 -1.118849  3.443332 3.44
53 2.324496 -1.118507  3.443002 3.44
54 2.324455 -1.122909  3.447364 3.45
55 2.324361 -1.131516  3.455877 3.46
56 2.324229 -1.142955  3.467184 3.47
57 2.324094 -1.155295  3.479389 3.48
58 2.323985 -1.166526  3.490511 3.49
59 2.323918 -1.175018  3.498936 3.50
60 2.323884 -1.179760  3.503644 3.50
61 2.276624 -1.180393  3.457017 3.46
62 2.276583 -1.176814  3.453397 3.45
63 2.276510 -1.168627  3.445137 3.45
64 2.276415 -1.155120  3.431534 3.43
65 2.276332 -1.135417  3.411750 3.41
66 2.276318 -1.109005  3.385324 3.39
67 2.276430 -1.076513  3.352942 3.35
68 2.276693 -1.040467  3.317160 3.32
69 2.277077 -1.005587  3.282664 3.28
70 2.277486 -0.978208  3.255694 3.26
71 2.478522 -0.963627  3.442149 3.44
72 2.478650 -0.966872  3.445522 3.45
73 2.478545 -0.989777  3.468322 3.47
74 2.478245 -1.030512  3.508757 3.51
75 2.477831 -1.084127  3.561957 3.56
76 2.477394 -1.143812  3.621206 3.62
77 2.477000 -1.202311  3.679311 3.68
78 2.476677 -1.252997  3.729674 3.73
79 2.476426 -1.290411  3.766838 3.77
80 2.476239 -1.310394  3.786632 3.79
81 2.145907 -1.311055  3.456961 3.46
82 2.145889 -1.292883  3.438772 3.44
83 2.146003 -1.256206  3.402209 3.40
84 2.146287 -1.203599  3.349886 3.35
85 2.146738 -1.140337  3.287075 3.29
86 2.147268 -1.074186  3.221454 3.22
87 2.147704 -1.013939  3.161643 3.16
88 2.147876 -0.966829  3.114705 3.11
89 2.147741 -0.936064  3.083804 3.08
90 2.147416 -0.920187  3.067603 3.07
91 2.535877 -0.912530  3.448408 3.45
92 2.535707 -0.907279  3.442985 3.44
93 2.535744 -0.901789  3.437533 3.44
94 2.535939 -0.896370  3.432309 3.43
95 2.536205 -0.893635  3.429840 3.43
96 2.536456 -0.897242  3.433697 3.43
97 2.536623 -0.910595  3.447218 3.45
98 2.536661 -0.935780  3.472442 3.47
99 2.536557 -0.972856  3.509413 3.51
100 2.536344 -1.019666  3.556010 3.56
101 2.436491 -1.071955  3.508446 3.51
102 2.436277 -1.126235  3.562512 3.56
103 2.436147 -1.178447  3.614594 3.61
104 2.436106 -1.225730  3.661835 3.66
105 2.436130 -1.266561  3.702691 3.70
106 2.436189 -1.300480  3.736669 3.74
107 2.436258 -1.327672  3.763930 3.76
108 2.436324 -1.348618  3.784942 3.78
