#Step   Etot   PotE Ktot  T
0 -0.994606 -2.636903  1.642297 1.64
1 -0.993406 -2.633286  1.639880 1.64
2 -0.993412 -2.627220  1.633809 1.63
3 -0.993420 -2.618647  1.625227 1.63
4 -0.993430 -2.607481  1.614051 1.61
5 -0.993442 -2.593616  1.600173 1.60
6 -0.993456 -2.576927  1.583471 1.58
7 -0.993471 -2.557279  1.563808 1.56
8 -0.993486 -2.534535  1.541050 1.54
9 -0.993500 -2.508570  1.515070 1.52
10 -0.993511 -2.479287  1.485776 1.49
11 -0.835798 -2.444817  1.609020 1.61
12 -0.835802 -2.406550  1.570748 1.57
13 -0.835795 -2.364599  1.528804 1.53
14 -0.835775 -2.319251  1.483476 1.48
15 -0.835739 -2.270998  1.435259 1.44
16 -0.835687 -2.220575  1.384888 1.38
17 -0.835619 -2.168961  1.333342 1.33
18 -0.835540 -2.117353  1.281812 1.28
19 -0.835458 -2.067086  1.231628 1.23
20 -0.835382 -2.019524  1.184142 1.18
21 -0.375952 -1.967300  1.591347 1.59
22 -0.375898 -1.919244  1.543347 1.54
23 -0.375863 -1.876275  1.500412 1.50
24 -0.375848 -1.838981  1.463134 1.46
25 -0.375848 -1.807637  1.431790 1.43
26 -0.375859 -1.782254  1.406395 1.41
27 -0.375877 -1.762647  1.386770 1.39
28 -0.375899 -1.748506  1.372607 1.37
29 -0.375924 -1.739434  1.363511 1.36
30 -0.375951 -1.734978  1.359027 1.36
31 -0.091507 -1.734095  1.642588 1.64
32 -0.091538 -1.736165  1.644627 1.64
33 -0.091571 -1.740616  1.649045 1.65
34 -0.091607 -1.746844  1.655237 1.66
35 -0.091645 -1.754223  1.662579 1.66
36 -0.091683 -1.762116  1.670433 1.67
37 -0.091721 -1.769892  1.678171 1.68
38 -0.091756 -1.776951  1.685194 1.69
39 -0.091788 -1.782747  1.690958 1.69
40 -0.091815 -1.786812  1.694997 1.69
41 -0.143332 -1.788829  1.645497 1.65
42 -0.143343 -1.788705  1.645362 1.65
43 -0.143345 -1.786359  1.643015 1.64
44 -0.143334 -1.781885  1.638551 1.64
45 -0.143310 -1.775579  1.632269 1.63
46 -0.143267 -1.767976  1.624709 1.62
47 -0.143208 -1.759877  1.616669 1.62
48 -0.143137 -1.752329  1.609193 1.61
49 -0.143066 -1.746540  1.603474 1.60
50 -0.143015 -1.743671  1.600657 1.60
51 -0.100159 -1.744474  1.644315 1.64
52 -0.100197 -1.749106  1.648908 1.65
53 -0.100282 -1.756991  1.656709 1.66
54 -0.100395 -1.766839  1.666444 1.67
55 -0.100512 -1.776918  1.676406 1.68
56 -0.100614 -1.785415  1.684801 1.68
57 -0.100689 -1.790751  1.690063 1.69
58 -0.100729 -1.791787  1.691057 1.69
59 -0.100735 -1.787930  1.687195 1.69
60 -0.100702 -1.779182  1.678480 1.68
61 -0.135611 -1.766375  1.630764 1.63
62 -0.135506 -1.750721  1.615215 1.62
63 -0.135375 -1.733989  1.598614 1.60
64 -0.135239 -1.718318  1.583079 1.58
65 -0.135124 -1.705901  1.570776 1.57
66 -0.135058 -1.698575  1.563518 1.56
67 -0.135055 -1.697426  1.562371 1.56
68 -0.135113 -1.702549  1.567436 1.57
69 -0.135213 -1.713085  1.577872 1.58
70 -0.135328 -1.727499  1.592171 1.59
71 -0.084104 -1.744123  1.660019 1.66
72 -0.084184 -1.760877  1.676693 1.68
73 -0.084233 -1.776386  1.692154 1.69
74 -0.084254 -1.789719  1.705465 1.71
75 -0.084253 -1.800359  1.716107 1.72
76 -0.084235 -1.808145  1.723910 1.72
77 -0.084207 -1.813185  1.728978 1.73
78 -0.084170 -1.815786  1.731616 1.73
79 -0.084128 -1.816402  1.732274 1.73
80 -0.084084 -1.815585  1.731501 1.73
81 -0.172042 -1.814137  1.642096 1.64
82 -0.172001 -1.812796  1.640794 1.64
83 -0.171967 -1.812131  1.640164 1.64
84 -0.171942 -1.812629  1.640687 1.64
85 -0.171929 -1.814635  1.642706 1.64
86 -0.171930 -1.818308  1.646378 1.65
87 -0.171944 -1.823599  1.651654 1.65
88 -0.171970 -1.830258  1.658288 1.66
89 -0.172002 -1.837873  1.665871 1.67
90 -0.172037 -1.845928  1.673891 1.67
91 -0.202462 -1.853844  1.651381 1.65
92 -0.202492 -1.861207  1.658714 1.66
93 -0.202517 -1.867548  1.665031 1.67
94 -0.202535 -1.872492  1.669958 1.67
95 -0.202546 -1.875777  1.673231 1.67
96 -0.202550 -1.877258  1.674708 1.67
97 -0.202547 -1.876918  1.674371 1.67
98 -0.202537 -1.874859  1.672322 1.67
99 -0.202520 -1.871306  1.668786 1.67
100 -0.202497 -1.866598  1.664100 1.66
101 -0.223071 -1.861238  1.638167 1.64
102 -0.223043 -1.855733  1.632690 1.63
103 -0.223017 -1.850609  1.627592 1.63
104 -0.222996 -1.846361  1.623366 1.62
105 -0.222982 -1.843412  1.620430 1.62
106 -0.222975 -1.842071  1.619095 1.62
107 -0.222976 -1.842527  1.619551 1.62
108 -0.222981 -1.844857  1.621876 1.62
109 -0.222989 -1.849052  1.626063 1.63
110 -0.222999 -1.855045  1.632046 1.63
111 -0.211556 -1.862730  1.651174 1.65
112 -0.211572 -1.871908  1.660336 1.66
113 -0.211594 -1.882351  1.670758 1.67
114 -0.211624 -1.893727  1.682103 1.68
115 -0.211661 -1.905573  1.693912 1.69
116 -0.211703 -1.917312  1.705609 1.71
117 -0.211742 -1.928306  1.716564 1.72
118 -0.211772 -1.937956  1.726184 1.73
119 -0.211787 -1.945800  1.734013 1.73
120 -0.211784 -1.951607  1.739823 1.74
121 -0.308089 -1.955502  1.647413 1.65
122 -0.308062 -1.958110  1.650049 1.65
123 -0.308034 -1.959834  1.651800 1.65
124 -0.308016 -1.961080  1.653064 1.65
125 -0.308017 -1.962116  1.654100 1.65
126 -0.308038 -1.962947  1.654909 1.65
127 -0.308079 -1.963271  1.655192 1.66
128 -0.308131 -1.962514  1.654384 1.65
129 -0.308183 -1.959951  1.651768 1.65
130 -0.308225 -1.954858  1.646633 1.65
131 -0.311382 -1.946689  1.635308 1.64
132 -0.311383 -1.935171  1.623788 1.62
133 -0.311363 -1.920370  1.609008 1.61
134 -0.311325 -1.902691  1.591365 1.59
135 -0.311278 -1.882803  1.571525 1.57
136 -0.311229 -1.861532  1.550303 1.55
137 -0.311185 -1.839736  1.528551 1.53
138 -0.311148 -1.818207  1.507059 1.51
139 -0.311116 -1.797630  1.486514 1.49
140 -0.311087 -1.778593  1.467506 1.47
141 -0.135061 -1.760121  1.625060 1.63
142 -0.135019 -1.743386  1.608367 1.61
143 -0.134969 -1.729079  1.594110 1.59
144 -0.134914 -1.717992  1.583078 1.58
145 -0.134863 -1.710950  1.576087 1.58
146 -0.134826 -1.708687  1.573861 1.57
