#Step   Etot   PotE Ktot  T
0 -0.994607 -2.636955  1.642349 1.64
1 -0.993459 -2.633490  1.640032 1.64
2 -0.993464 -2.627675  1.634211 1.63
3 -0.993471 -2.619451  1.625979 1.63
4 -0.993481 -2.608739  1.615258 1.62
5 -0.993492 -2.595440  1.601948 1.60
6 -0.993505 -2.579442  1.585938 1.59
7 -0.993518 -2.560623  1.567105 1.57
8 -0.993531 -2.538858  1.545327 1.55
9 -0.993544 -2.514036  1.520493 1.52
10 -0.993554 -2.486072  1.492518 1.49
11 -0.993561 -2.454926  1.461365 1.46
12 -0.993561 -2.420629  1.427068 1.43
13 -0.993553 -2.383313  1.389760 1.39
14 -0.993535 -2.343240  1.349705 1.35
15 -0.993506 -2.300828  1.307322 1.31
16 -0.993464 -2.256670  1.263206 1.26
17 -0.993411 -2.211539  1.218127 1.22
18 -0.993350 -2.166364  1.173014 1.17
19 -0.993286 -2.122185  1.128899 1.13
20 -0.993224 -2.080076  1.086852 1.09
21 -0.436512 -2.031174  1.594662 1.59
22 -0.436458 -1.985320  1.548862 1.55
23 -0.436417 -1.943422  1.507005 1.51
24 -0.436392 -1.906161  1.469769 1.47
25 -0.436383 -1.873965  1.437582 1.44
26 -0.436388 -1.846998  1.410610 1.41
27 -0.436404 -1.825197  1.388793 1.39
28 -0.436429 -1.808306  1.371877 1.37
29 -0.436459 -1.795929  1.359470 1.36
30 -0.436491 -1.787579  1.351088 1.35
31 -0.436523 -1.782729  1.346206 1.35
32 -0.436552 -1.780850  1.344298 1.34
33 -0.436578 -1.781448  1.344870 1.34
34 -0.436600 -1.784079  1.347479 1.35
35 -0.436618 -1.788367  1.351749 1.35
36 -0.436634 -1.793994  1.357360 1.36
37 -0.436649 -1.800683  1.364034 1.36
38 -0.436666 -1.808176  1.371510 1.37
39 -0.436685 -1.816203  1.379518 1.38
40 -0.436706 -1.824468  1.387762 1.39
41 -0.180993 -1.832968  1.651975 1.65
42 -0.181016 -1.840213  1.659197 1.66
43 -0.181031 -1.845895  1.664864 1.66
44 -0.181035 -1.849825  1.668790 1.67
45 -0.181025 -1.851986  1.670961 1.67
46 -0.181000 -1.852579  1.671579 1.67
47 -0.180963 -1.852025  1.671062 1.67
48 -0.180916 -1.850937  1.670021 1.67
49 -0.180869 -1.850048  1.669179 1.67
50 -0.180827 -1.850105  1.669278 1.67
51 -0.180798 -1.851758  1.670960 1.67
52 -0.180786 -1.855460  1.674674 1.67
53 -0.180791 -1.861400  1.680609 1.68
54 -0.180813 -1.869492  1.688679 1.69
55 -0.180846 -1.879402  1.698557 1.70
56 -0.180885 -1.890615  1.709729 1.71
57 -0.180928 -1.902502  1.721574 1.72
58 -0.180969 -1.914396  1.733427 1.73
59 -0.181006 -1.925646  1.744639 1.74
60 -0.181038 -1.935663  1.754625 1.75
61 -0.292187 -1.943852  1.651665 1.65
62 -0.292203 -1.950331  1.658128 1.66
63 -0.292212 -1.954857  1.662645 1.66
64 -0.292215 -1.957305  1.665091 1.67
65 -0.292211 -1.957663  1.665452 1.67
66 -0.292205 -1.956009  1.663804 1.66
67 -0.292197 -1.952481  1.660285 1.66
68 -0.292188 -1.947253  1.655064 1.66
69 -0.292180 -1.940504  1.648324 1.65
70 -0.292172 -1.932418  1.640245 1.64
71 -0.292163 -1.923179  1.631016 1.63
72 -0.292152 -1.912993  1.620841 1.62
73 -0.292137 -1.902099  1.609962 1.61
74 -0.292119 -1.890783  1.598664 1.60
75 -0.292099 -1.879376  1.587278 1.59
76 -0.292077 -1.868237  1.576160 1.58
77 -0.292058 -1.857730  1.565672 1.57
78 -0.292041 -1.848189  1.556148 1.56
79 -0.292031 -1.839890  1.547860 1.55
80 -0.292027 -1.833021  1.540994 1.54
81 -0.189525 -1.827280  1.637755 1.64
82 -0.189538 -1.822644  1.633105 1.63
83 -0.189561 -1.818926  1.629365 1.63
