#Step   Etot   PotE Ktot  T
0 0.847443 -2.635356  3.482799 3.48
1 0.847408 -2.626927  3.474334 3.47
2 0.847355 -2.612404  3.459759 3.46
3 0.847283 -2.591171  3.438454 3.44
4 0.847191 -2.562398  3.409590 3.41
5 0.847081 -2.525048  3.372129 3.37
6 0.846952 -2.477886  3.324838 3.32
7 0.846812 -2.419526  3.266338 3.27
8 0.846672 -2.348538  3.195209 3.20
9 0.846552 -2.263634  3.110186 3.11
10 0.846483 -2.163988  3.010472 3.01
11 0.846506 -2.049692  2.896198 2.90
12 0.846659 -1.922309  2.768968 2.77
13 0.846962 -1.785392  2.632354 2.63
14 0.847391 -1.644674  2.492064 2.49
15 0.847866 -1.507617  2.355484 2.36
16 0.848273 -1.382175  2.230448 2.23
17 0.848509 -1.275058  2.123566 2.12
18 0.848536 -1.190235  2.038771 2.04
19 0.848394 -1.128373  1.976767 1.98
20 0.848164 -1.087381  1.935544 1.94
21 0.847926 -1.063608  1.911534 1.91
22 0.847730 -1.053069  1.900799 1.90
23 0.847592 -1.052248  1.899840 1.90
24 0.847507 -1.058423  1.905930 1.91
25 0.847459 -1.069648  1.917107 1.92
26 0.847433 -1.084582  1.932015 1.93
27 0.847419 -1.102295  1.949714 1.95
28 0.847411 -1.122133  1.969544 1.97
29 0.847408 -1.143626  1.991034 1.99
30 0.847409 -1.166452  2.013861 2.01
31 0.847413 -1.190410  2.037822 2.04
32 0.847417 -1.215395  2.062812 2.06
33 0.847419 -1.241355  2.088774 2.09
34 0.847411 -1.268211  2.115622 2.12
35 0.847385 -1.295739  2.143124 2.14
36 0.847341 -1.323465  2.170806 2.17
37 0.847287 -1.350647  2.197933 2.20
38 0.847241 -1.376405  2.223646 2.22
39 0.847222 -1.399976  2.247198 2.25
40 0.847240 -1.420979  2.268219 2.27
41 0.847293 -1.439569  2.286862 2.29
42 0.847364 -1.456398  2.303762 2.30
43 0.847433 -1.472390  2.319822 2.32
44 0.847477 -1.488426  2.335903 2.34
45 0.847483 -1.505042  2.352525 2.35
46 0.847447 -1.522228  2.369676 2.37
47 0.847375 -1.539381  2.386756 2.39
48 0.847279 -1.555391  2.402670 2.40
49 0.847175 -1.568834  2.416009 2.42
50 0.847085 -1.578235  2.425320 2.43
51 0.847031 -1.582386  2.429417 2.43
52 0.847033 -1.580682  2.427715 2.43
53 0.847099 -1.573406  2.420505 2.42
54 0.847213 -1.561812  2.409025 2.41
55 0.847337 -1.547876  2.395213 2.40
