#Step   Etot   PotE Ktot  T
0 0.818292 -2.635334  3.453626 3.45
1 0.818265 -2.626904  3.445170 3.45
2 0.818220 -2.612500  3.430720 3.43
3 0.818155 -2.591594  3.409749 3.41
4 0.818070 -2.563443  3.381513 3.38
5 0.817965 -2.527087  3.345052 3.35
6 0.817842 -2.481358  3.299200 3.30
7 0.817705 -2.424927  3.242632 3.24
8 0.817566 -2.356398  3.173964 3.17
9 0.817445 -2.274494  3.091939 3.09
10 0.817372 -2.178359  2.995732 3.00
11 0.817386 -2.068010  2.885396 2.89
12 0.817526 -1.944878  2.762403 2.76
13 0.817810 -1.812321  2.630131 2.63
14 0.818217 -1.675815  2.494031 2.49
15 0.818674 -1.542523  2.361197 2.36
16 0.819084 -1.420178  2.239262 2.24
17 0.819362 -1.315589  2.134951 2.13
18 0.819478 -1.233408  2.052886 2.05
19 0.819444 -1.175615  1.995059 2.00
20 0.819300 -1.141710  1.961010 1.96
21 0.819092 -1.129306  1.948398 1.95
22 0.818860 -1.134841  1.953701 1.95
23 0.818637 -1.154242  1.972879 1.97
24 0.818443 -1.183458  2.001900 2.00
25 0.818286 -1.218811  2.037097 2.04
26 0.818163 -1.257164  2.075327 2.08
27 0.818067 -1.295923  2.113989 2.11
28 0.817986 -1.332957  2.150943 2.15
29 0.817912 -1.366471  2.184383 2.18
30 0.817834 -1.394880  2.212715 2.21
31 0.817748 -1.416702  2.234450 2.23
32 0.817651 -1.430493  2.248145 2.25
33 0.817547 -1.434843  2.252390 2.25
34 0.817452 -1.428462  2.245914 2.25
35 0.817400 -1.410456  2.227856 2.23
36 0.817445 -1.380841  2.198286 2.20
37 0.817647 -1.341322  2.158969 2.16
38 0.818023 -1.296047  2.114070 2.11
39 0.818481 -1.251638  2.070119 2.07
40 0.818827 -1.215680  2.034507 2.03
41 0.818899 -1.193868  2.012767 2.01
42 0.818718 -1.187684  2.006402 2.01
43 0.818461 -1.194648  2.013109 2.01
44 0.818288 -1.210772  2.029059 2.03
45 0.818222 -1.232860  2.051083 2.05
46 0.818196 -1.259058  2.077254 2.08
47 0.818139 -1.288035  2.106173 2.11
48 0.818035 -1.318085  2.136119 2.14
49 0.817915 -1.346914  2.164829 2.16
50 0.817824 -1.372085  2.189909 2.19
51 0.817791 -1.391660  2.209451 2.21
52 0.817827 -1.404670  2.222497 2.22
53 0.817920 -1.411262  2.229181 2.23
54 0.818048 -1.412548  2.230596 2.23
55 0.818183 -1.410268  2.228451 2.23
56 0.818294 -1.406334  2.224628 2.22
57 0.818359 -1.402367  2.220727 2.22
58 0.818369 -1.399344  2.217713 2.22
59 0.818332 -1.397442  2.215774 2.22
60 0.818270 -1.396151  2.214421 2.21
61 0.818212 -1.394591  2.212802 2.21
62 0.818178 -1.391911  2.210088 2.21
63 0.818176 -1.387609  2.205786 2.21
64 0.818203 -1.381672  2.199875 2.20
65 0.818246 -1.374517  2.192763 2.19
66 0.818288 -1.366818  2.185107 2.19
67 0.818320 -1.359287  2.177608 2.18
68 0.818339 -1.352516  2.170854 2.17
69 0.818349 -1.346926  2.165275 2.17
70 0.818363 -1.342847  2.161209 2.16
71 0.818390 -1.340659  2.159049 2.16
72 0.818436 -1.340938  2.159374 2.16
73 0.818492 -1.344490  2.162982 2.16
74 0.818538 -1.352219  2.170757 2.17
75 0.818549 -1.364826  2.183375 2.18
76 0.818505 -1.382439  2.200944 2.20
77 0.818401 -1.404332  2.222732 2.22
78 0.818250 -1.428866  2.247116 2.25
79 0.818080 -1.453712  2.271792 2.27
80 0.817920 -1.476260  2.294180 2.29
81 0.817798 -1.494091  2.311888 2.31
82 0.817726 -1.505370  2.323096 2.32
83 0.817708 -1.509086  2.326793 2.33
84 0.817736 -1.505102  2.322838 2.32
85 0.817794 -1.494053  2.311847 2.31
86 0.817866 -1.477115  2.294980 2.29
87 0.817935 -1.455737  2.273672 2.27
88 0.817998 -1.431414  2.249411 2.25
89 0.818058 -1.405582  2.223640 2.22
90 0.818126 -1.379668  2.197794 2.20
91 0.818201 -1.355174  2.173375 2.17
92 0.818261 -1.333615  2.151876 2.15
93 0.818275 -1.316185  2.134460 2.13
94 0.818225 -1.303305  2.121530 2.12
95 0.818127 -1.294384  2.112511 2.11
96 0.818021 -1.288057  2.106077 2.11
97 0.817939 -1.282745  2.100685 2.10
98 0.817898 -1.277190  2.095088 2.10
