#Step   Etot   PotE Ktot  T
0 0.818286 -2.635355  3.453641 3.45
1 0.818254 -2.626933  3.445187 3.45
2 0.818213 -2.612436  3.430649 3.43
3 0.818175 -2.591249  3.409424 3.41
4 0.818155 -2.562536  3.380692 3.38
5 0.818179 -2.525237  3.343416 3.34
6 0.818276 -2.478080  3.296356 3.30
7 0.818487 -2.419623  3.238110 3.24
8 0.818867 -2.348346  3.167213 3.17
9 0.819480 -2.262843  3.082323 3.08
10 0.820409 -2.162120  2.982529 2.98
11 0.821747 -2.046056  2.867803 2.87
12 0.823584 -1.915967  2.739551 2.74
13 0.825984 -1.775131  2.601114 2.60
14 0.828959 -1.628991  2.457950 2.46
15 0.832462 -1.484745  2.317208 2.32
16 0.836414 -1.350235  2.186649 2.19
17 0.840750 -1.232537  2.073288 2.07
18 0.845460 -1.136868  1.982328 1.98
19 0.850577 -1.066164  1.916741 1.92
20 0.856160 -1.021212  1.877371 1.88
21 0.862282 -1.000951  1.863233 1.86
22 0.869035 -1.002811  1.871846 1.87
23 0.876526 -1.023070  1.899596 1.90
24 0.884866 -1.057323  1.942189 1.94
25 0.894162 -1.100990  1.995152 2.00
26 0.904498 -1.149814  2.054312 2.05
27 0.915934 -1.200265  2.116199 2.12
28 0.928497 -1.249786  2.178283 2.18
29 0.942188 -1.296867  2.239055 2.24
30 0.956983 -1.340909  2.297892 2.30
31 0.972849 -1.381934  2.354783 2.35
32 0.989756 -1.420234  2.409990 2.41
33 1.007688 -1.456125  2.463813 2.46
34 1.026637 -1.489885  2.516522 2.52
35 1.046594 -1.521831  2.568425 2.57
36 1.067535 -1.552367  2.619902 2.62
37 1.089424 -1.581838  2.671262 2.67
38 1.112225 -1.610208  2.722433 2.72
39 1.135918 -1.636753  2.772671 2.77
40 1.160499 -1.660016  2.820515 2.82
41 1.185962 -1.678109  2.864072 2.86
42 1.212283 -1.689219  2.901502 2.90
43 1.239404 -1.692058  2.931461 2.93
44 1.267242 -1.686120  2.953362 2.95
45 1.295707 -1.671724  2.967431 2.97
46 1.324707 -1.649930  2.974638 2.97
47 1.354162 -1.622397  2.976558 2.98
48 1.384002 -1.591183  2.975185 2.98
49 1.414181 -1.558510  2.972691 2.97
50 1.444672 -1.526487  2.971159 2.97
51 1.475473 -1.496861  2.972334 2.97
52 1.506602 -1.470807  2.977409 2.98
53 1.538090 -1.448785  2.986875 2.99
54 1.569977 -1.430429  3.000406 3.00
55 1.602307 -1.414540  3.016848 3.02
56 1.635130 -1.399230  3.034361 3.03
57 1.668487 -1.382313  3.050800 3.05
58 1.702400 -1.361889  3.064289 3.06
59 1.736861 -1.336981  3.073843 3.07
60 1.771826 -1.307989  3.079815 3.08
61 1.807221 -1.276740  3.083961 3.08
62 1.842965 -1.246034  3.088999 3.09
63 1.879004 -1.218783  3.097787 3.10
64 1.915343 -1.197111  3.112453 3.11
65 1.952053 -1.181854  3.133906 3.13
66 1.989239 -1.172703  3.161942 3.16
67 2.027000 -1.168766  3.195766 3.20
68 2.065403 -1.169153  3.234556 3.23
69 2.104479 -1.173303  3.277782 3.28
70 2.144236 -1.181008  3.325244 3.33
71 2.184669 -1.192223  3.376892 3.38
72 2.225768 -1.206776  3.432544 3.43
73 2.267526 -1.224090  3.491616 3.49
74 2.309934 -1.243030  3.552964 3.55
75 2.352974 -1.261915  3.614889 3.61
76 2.396604 -1.278661  3.675265 3.68
77 2.440755 -1.290961  3.731716 3.73
78 2.485324 -1.296439  3.781762 3.78
79 2.530184 -1.292754  3.822938 3.82
80 2.575192 -1.277725  3.852917 3.85
81 2.620196 -1.249499  3.869695 3.87
82 2.665047 -1.206834  3.871882 3.87
83 2.709615 -1.149542  3.859157 3.86
84 2.753794 -1.079126  3.832921 3.83
85 2.797502 -0.999541  3.797043 3.80
86 2.840641 -0.917652  3.758294 3.76
87 2.883090 -0.842671  3.725761 3.73
88 2.924751 -0.784044  3.708795 3.71
89 2.965678 -0.748467  3.714145 3.71
90 3.006127 -0.737824  3.743951 3.74
91 3.046453 -0.749304  3.795757 3.80
92 3.086956 -0.777055  3.864011 3.86
93 3.127808 -0.813978  3.941786 3.94
94 3.169068 -0.852972  4.022040 4.02
95 3.210701 -0.887801  4.098502 4.10
96 3.252592 -0.913766  4.166358 4.17
