#Step   Etot   PotE Ktot  T
0 0.818306 -2.635660  3.453966 3.45
1 0.818300 -2.628332  3.446631 3.45
2 0.818285 -2.616060  3.434345 3.43
3 0.818262 -2.598683  3.416945 3.42
4 0.818230 -2.575947  3.394178 3.39
5 0.818192 -2.547509  3.365701 3.37
6 0.818147 -2.512953  3.331100 3.33
7 0.818097 -2.471811  3.289908 3.29
8 0.818046 -2.423591  3.241637 3.24
9 0.817997 -2.367821  3.185818 3.19
10 0.817956 -2.304110  3.122066 3.12
11 0.817930 -2.232225  3.050155 3.05
12 0.817926 -2.152195  2.970121 2.97
13 0.817953 -2.064427  2.882380 2.88
14 0.818021 -1.969830  2.787851 2.79
15 0.818135 -1.869928  2.688063 2.69
16 0.818296 -1.766939  2.585235 2.59
17 0.818499 -1.663763  2.482262 2.48
18 0.818727 -1.563877  2.382604 2.38
19 0.818958 -1.471085  2.290043 2.29
20 0.819164 -1.389158  2.208322 2.21
21 0.819315 -1.321407  2.140722 2.14
22 0.819393 -1.270264  2.089657 2.09
23 0.819388 -1.236982  2.056371 2.06
24 0.819305 -1.221503  2.040808 2.04
25 0.819160 -1.222527  2.041687 2.04
26 0.818974 -1.237753  2.056728 2.06
27 0.818771 -1.264208  2.082979 2.08
28 0.818570 -1.298601  2.117171 2.12
29 0.818386 -1.337633  2.156019 2.16
30 0.818227 -1.378230  2.196457 2.20
31 0.818095 -1.417684  2.235779 2.24
32 0.817992 -1.453726  2.271718 2.27
33 0.817916 -1.484545  2.302461 2.30
34 0.817864 -1.508776  2.326641 2.33
35 0.817836 -1.525487  2.343323 2.34
36 0.817832 -1.534161  2.351993 2.35
37 0.817852 -1.534700  2.352552 2.35
38 0.817898 -1.527433  2.345331 2.35
39 0.817969 -1.513125  2.331094 2.33
40 0.818065 -1.492972  2.311037 2.31
41 0.818181 -1.468566  2.286747 2.29
42 0.818309 -1.441817  2.260126 2.26
43 0.818438 -1.414825  2.233263 2.23
44 0.818557 -1.389706  2.208263 2.21
45 0.818653 -1.368399  2.187052 2.19
46 0.818717 -1.352483  2.171200 2.17
47 0.818743 -1.343024  2.161767 2.16
48 0.818729 -1.340491  2.159221 2.16
49 0.818681 -1.344740  2.163420 2.16
50 0.818603 -1.355062  2.173666 2.17
51 0.818506 -1.370298  2.188805 2.19
52 0.818400 -1.388972  2.207372 2.21
53 0.818293 -1.409453  2.227746 2.23
54 0.818196 -1.430108  2.248304 2.25
55 0.818117 -1.449454  2.267570 2.27
56 0.818062 -1.466284  2.284346 2.28
57 0.818037 -1.479780  2.297817 2.30
58 0.818046 -1.489593  2.307639 2.31
59 0.818087 -1.495886  2.313973 2.31
60 0.818156 -1.499320  2.317476 2.32
61 0.818242 -1.500966  2.319208 2.32
62 0.818330 -1.502148  2.320479 2.32
63 0.818405 -1.504211  2.322616 2.32
64 0.818452 -1.508277  2.326729 2.33
65 0.818462 -1.515029  2.333491 2.33
66 0.818435 -1.524582  2.343017 2.34
67 0.818380 -1.536485  2.354864 2.35
68 0.818307 -1.549827  2.368134 2.37
69 0.818230 -1.563421  2.381651 2.38
70 0.818160 -1.576002  2.394162 2.39
71 0.818103 -1.586393  2.404497 2.40
72 0.818063 -1.593618  2.411681 2.41
73 0.818040 -1.596959  2.414999 2.41
74 0.818034 -1.595982  2.414016 2.41
75 0.818044 -1.590531  2.408575 2.41
76 0.818069 -1.580726  2.398794 2.40
77 0.818107 -1.566941  2.385048 2.39
78 0.818155 -1.549785  2.367940 2.37
79 0.818210 -1.530050  2.348260 2.35
80 0.818267 -1.508650  2.326917 2.33
81 0.818319 -1.486536  2.304856 2.30
82 0.818363 -1.464610  2.282973 2.28
83 0.818395 -1.443645  2.262040 2.26
84 0.818414 -1.424237  2.242651 2.24
85 0.818423 -1.406792  2.225215 2.23
86 0.818423 -1.391542  2.209965 2.21
