#Step   Etot   PotE Ktot  T
0 0.847440 -2.635478  3.482918 3.48
1 0.850050 -2.627391  3.477441 3.48
2 0.849991 -2.613386  3.463377 3.46
3 0.849909 -2.592774  3.442683 3.44
4 0.849803 -2.564610  3.414412 3.41
5 0.849670 -2.527678  3.377349 3.38
6 0.849514 -2.480499  3.330013 3.33
7 0.849341 -2.421382  3.270723 3.27
8 0.849172 -2.348584  3.197756 3.20
9 0.849045 -2.260640  3.109684 3.11
10 0.849016 -2.156926  3.005942 3.01
11 0.849149 -2.038482  2.887631 2.89
12 0.849481 -1.908856  2.758337 2.76
13 0.849969 -1.774480  2.624449 2.62
14 0.850474 -1.643870  2.494344 2.49
15 0.850828 -1.525515  2.376342 2.38
16 0.850949 -1.425413  2.276362 2.28
17 0.850887 -1.345872  2.196759 2.20
18 0.850755 -1.286158  2.136914 2.14
19 0.850638 -1.244119  2.094757 2.09
20 0.850564 -1.217502  2.068066 2.07
21 2.268181 -1.194432  3.462613 3.46
22 2.268316 -1.176403  3.444719 3.44
23 2.268418 -1.164269  3.432686 3.43
24 2.268464 -1.158596  3.427060 3.43
25 2.268455 -1.159306  3.427761 3.43
26 2.268402 -1.165640  3.434042 3.43
27 2.268318 -1.176304  3.444623 3.44
28 2.268211 -1.189647  3.457858 3.46
29 2.268078 -1.203770  3.471848 3.47
30 2.267909 -1.216528  3.484437 3.48
31 2.267694 -1.225435  3.493128 3.49
32 2.267433 -1.227576  3.495009 3.50
33 2.267164 -1.219735  3.486899 3.49
34 2.266989 -1.199052  3.466041 3.47
35 2.267088 -1.164615  3.431702 3.43
36 2.267626 -1.119953  3.387578 3.39
37 2.268511 -1.074959  3.343470 3.34
38 2.269218 -1.043871  3.313089 3.31
39 2.269165 -1.037506  3.306671 3.31
40 2.268402 -1.055286  3.323688 3.32
41 2.429421 -1.085960  3.515381 3.52
42 2.428978 -1.114798  3.543776 3.54
43 2.428985 -1.133604  3.562589 3.56
44 2.429247 -1.140765  3.570012 3.57
45 2.429575 -1.138841  3.568417 3.57
46 2.429863 -1.131870  3.561733 3.56
47 2.430067 -1.123661  3.553729 3.55
48 2.430182 -1.117036  3.547218 3.55
49 2.430209 -1.113604  3.543813 3.54
50 2.430147 -1.113714  3.543861 3.54
51 2.429998 -1.116425  3.546423 3.55
52 2.429783 -1.119555  3.549337 3.55
53 2.429547 -1.120009  3.549556 3.55
54 2.429358 -1.114501  3.543860 3.54
55 2.429283 -1.100539  3.529822 3.53
56 2.429364 -1.077403  3.506767 3.51
57 2.429604 -1.046755  3.476359 3.48
58 2.429950 -1.012597  3.442548 3.44
59 2.430307 -0.980445  3.410752 3.41
60 2.430569 -0.955866  3.386434 3.39
61 2.529797 -0.942376  3.472173 3.47
62 2.529714 -0.941459  3.471173 3.47
63 2.529500 -0.951786  3.481285 3.48
64 2.529224 -0.969947  3.499171 3.50
65 2.528941 -0.991515  3.520455 3.52
66 2.528674 -1.011904  3.540577 3.54
67 2.528433 -1.026843  3.555276 3.56
68 2.528234 -1.032624  3.560859 3.56
69 2.528110 -1.026399  3.554508 3.55
70 2.528103 -1.006681  3.534784 3.53
71 2.528251 -0.973967  3.502218 3.50
72 2.528557 -0.931208  3.459765 3.46
73 2.528965 -0.883736  3.412701 3.41
74 2.529365 -0.838333  3.367698 3.37
75 2.529642 -0.801552  3.331194 3.33
76 2.529736 -0.777974  3.307710 3.31
77 2.529678 -0.769307  3.298985 3.30
78 2.529551 -0.774762  3.304313 3.30
79 2.529430 -0.792246  3.321676 3.32
80 2.529340 -0.819487  3.348828 3.35
81 2.666001 -0.854657  3.520658 3.52
82 2.665889 -0.894706  3.560594 3.56
83 2.665721 -0.937211  3.602932 3.60
84 2.665514 -0.979025  3.644539 3.64
85 2.665317 -1.016540  3.681856 3.68
86 2.665183 -1.046394  3.711577 3.71
87 2.665150 -1.066268  3.731418 3.73
88 2.665225 -1.075438  3.740663 3.74
89 2.665386 -1.074894  3.740281 3.74
90 2.665591 -1.067021  3.732613 3.73
91 2.665794 -1.054977  3.720771 3.72
92 2.665964 -1.042009  3.707973 3.71
93 2.666099 -1.030981  3.697080 3.70
94 2.666223 -1.024302  3.690524 3.69
95 2.666351 -1.024168  3.690518 3.69
96 2.666452 -1.032672  3.699123 3.70
97 2.666449 -1.051272  3.717721 3.72
98 2.666282 -1.079688  3.745970 3.75
99 2.665980 -1.115092  3.781071 3.78
100 2.665650 -1.152555  3.818206 3.82
101 2.332761 -1.185999  3.518760 3.52
102 2.332630 -1.213673  3.546303 3.55
103 2.332607 -1.232936  3.565543 3.57
104 2.332651 -1.242813  3.575465 3.58
105 2.332723 -1.243475  3.576198 3.58
106 2.332796 -1.235664  3.568460 3.57
107 2.332862 -1.220315  3.553178 3.55
108 2.332927 -1.198416  3.531344 3.53
109 2.332999 -1.171040  3.504038 3.50
110 2.333083 -1.139435  3.472518 3.47
111 2.333179 -1.105089  3.438268 3.44
112 2.333278 -1.069689  3.402968 3.40
113 2.333372 -1.034995  3.368367 3.37
114 2.333450 -1.002673  3.336124 3.34
115 2.333509 -0.974157  3.307666 3.31
116 2.333548 -0.950571  3.284119 3.28
117 2.333564 -0.932699  3.266264 3.27
118 2.333554 -0.920958  3.254513 3.25
119 2.333514 -0.915340  3.248854 3.25
120 2.333442 -0.915353  3.248796 3.25
121 2.570114 -0.919505  3.489619 3.49
122 2.570014 -0.925762  3.495776 3.50
123 2.569936 -0.932788  3.502724 3.50
124 2.569893 -0.939584  3.509478 3.51
125 2.569885 -0.945711  3.515597 3.52
126 2.569890 -0.951272  3.521162 3.52
127 2.569871 -0.956605  3.526475 3.53
128 2.569790 -0.961767  3.531558 3.53
129 2.569640 -0.966056  3.535696 3.54
130 2.569465 -0.967929  3.537394 3.54
131 2.569364 -0.965677  3.535041 3.54
132 2.569451 -0.958836  3.528287 3.53
133 2.569763 -0.949687  3.519450 3.52
134 2.570175 -0.943550  3.513725 3.51
135 2.570435 -0.946814  3.517249 3.52
136 2.570340 -0.963277  3.533617 3.53
137 2.569900 -0.991269  3.561170 3.56
138 2.569324 -1.023834  3.593158 3.59
139 2.568853 -1.051758  3.620611 3.62
140 2.568632 -1.067214  3.635845 3.64
141 2.418402 -1.066655  3.485056 3.49
142 2.418683 -1.051089  3.469772 3.47
143 2.419131 -1.024344  3.443474 3.44
144 2.419656 -0.992933  3.412589 3.41
145 2.420149 -0.964649  3.384798 3.38
146 2.420489 -0.946816  3.367305 3.37
147 2.420594 -0.944481  3.365075 3.37
148 2.420456 -0.959172  3.379628 3.38
149 2.420142 -0.988749  3.408891 3.41
150 2.419758 -1.028382  3.448140 3.45
151 2.419401 -1.072100  3.491501 3.49
152 2.419134 -1.114255  3.533390 3.53
153 2.418985 -1.150525  3.569511 3.57
154 2.418951 -1.178374  3.597325 3.60
155 2.419006 -1.197054  3.616060 3.62
156 2.419104 -1.207235  3.626338 3.63
157 2.419192 -1.210337  3.629529 3.63
158 2.419232 -1.207771  3.627003 3.63
159 2.419216 -1.200358  3.619574 3.62
160 2.419183 -1.188248  3.607430 3.61
161 2.297329 -1.172098  3.469427 3.47
162 2.297414 -1.152692  3.450105 3.45
163 2.297561 -1.131702  3.429263 3.43
164 2.297709 -1.111626  3.409335 3.41
165 2.297794 -1.094898  3.392693 3.39
166 2.297797 -1.082969  3.380765 3.38
167 2.297743 -1.075989  3.373732 3.37
168 2.297671 -1.073149  3.370820 3.37
169 2.297607 -1.073225  3.370832 3.37
170 2.297566 -1.074993  3.372560 3.37
171 2.297557 -1.077507  3.375064 3.38
172 2.297572 -1.080241  3.377813 3.38
173 2.297590 -1.083019  3.380609 3.38
174 2.297587 -1.085740  3.383326 3.38
175 2.297552 -1.088065  3.385618 3.39
176 2.297493 -1.089293  3.386786 3.39
177 2.297424 -1.088446  3.385870 3.39
178 2.297360 -1.084497  3.381857 3.38
179 2.297312 -1.076588  3.373901 3.37
180 2.297291 -1.064210  3.361501 3.36
181 2.421378 -1.046658  3.468036 3.47
182 2.421474 -1.024555  3.446030 3.45
183 2.421674 -0.999911  3.421585 3.42
184 2.421979 -0.976294  3.398273 3.40
185 2.422336 -0.958754  3.381090 3.38
186 2.422636 -0.952933  3.375569 3.38
187 2.422765 -0.963414  3.386179 3.39
188 2.422682 -0.992087  3.414769 3.41
189 2.422433 -1.037521  3.459955 3.46
190 2.422109 -1.095631  3.517740 3.52
191 2.421781 -1.160994  3.582775 3.58
192 2.421490 -1.228001  3.649491 3.65
193 2.421252 -1.291544  3.712796 3.71
194 2.421076 -1.347354  3.768430 3.77
195 2.420965 -1.392181  3.813146 3.81
196 2.420919 -1.423890  3.844809 3.84
197 2.420933 -1.441476  3.862410 3.86
198 2.421001 -1.445009  3.866010 3.87
199 2.421111 -1.435511  3.856622 3.86
200 2.421251 -1.414798  3.836049 3.84
201 2.070925 -1.387566  3.458491 3.46
202 2.071088 -1.356446  3.427534 3.43
203 2.071252 -1.324308  3.395560 3.40
204 2.071416 -1.294070  3.365486 3.37
205 2.071575 -1.268628  3.340202 3.34
206 2.071711 -1.250730  3.322441 3.32
207 2.071799 -1.242701  3.314500 3.31
208 2.071811 -1.246034  3.317846 3.32
209 2.071737 -1.261008  3.332745 3.33
210 2.071586 -1.286518  3.358104 3.36
211 2.071386 -1.320222  3.391608 3.39
212 2.071178 -1.358966  3.430143 3.43
213 2.071004 -1.399397  3.470401 3.47
214 2.070894 -1.438602  3.509497 3.51
215 2.070858 -1.474573  3.545431 3.55
216 2.070880 -1.506361  3.577241 3.58
217 2.070932 -1.533892  3.604824 3.60
218 2.070982 -1.557564  3.628546 3.63
219 2.071009 -1.577799  3.648808 3.65
