#Step   Etot   PotE Ktot  T
0 0.847464 -2.635581  3.483045 3.48
1 0.849975 -2.628006  3.477981 3.48
2 0.849951 -2.615265  3.465217 3.47
3 0.849915 -2.597092  3.447007 3.45
4 0.849867 -2.573076  3.422942 3.42
5 0.849808 -2.542680  3.392487 3.39
6 0.849740 -2.505258  3.354998 3.35
7 0.849666 -2.460090  3.309756 3.31
8 0.849592 -2.406434  3.256026 3.26
9 0.849527 -2.343615  3.193142 3.19
10 0.849480 -2.271142  3.120623 3.12
11 0.849467 -2.188878  3.038346 3.04
12 0.849503 -2.097239  2.946742 2.95
13 0.849600 -1.997407  2.847008 2.85
14 0.849765 -1.891495  2.741260 2.74
15 0.849987 -1.782592  2.632579 2.63
16 0.850242 -1.674600  2.524843 2.52
17 0.850492 -1.571840  2.422332 2.42
18 0.850696 -1.478466  2.329163 2.33
19 0.850825 -1.397867  2.248691 2.25
20 0.850867 -1.332212  2.183080 2.18
21 2.153315 -1.265628  3.418943 3.42
22 2.153244 -1.211524  3.364768 3.36
23 2.153163 -1.168889  3.322052 3.32
24 2.153089 -1.136478  3.289566 3.29
25 2.153027 -1.113066  3.266094 3.27
26 2.152981 -1.097592  3.250573 3.25
27 2.152944 -1.089190  3.242134 3.24
28 2.152906 -1.087129  3.240035 3.24
29 2.152852 -1.090663  3.243515 3.24
30 2.152774 -1.098845  3.251619 3.25
31 2.152672 -1.110406  3.263078 3.26
32 2.152557 -1.123770  3.276327 3.28
33 2.152448 -1.137222  3.289670 3.29
34 2.152363 -1.149178  3.301541 3.30
35 2.152314 -1.158445  3.310759 3.31
36 2.152305 -1.164400  3.316705 3.32
37 2.152334 -1.167053  3.319387 3.32
38 2.152387 -1.166978  3.319365 3.32
39 2.152446 -1.165120  3.317566 3.32
40 2.152486 -1.162499  3.314986 3.31
41 2.323069 -1.159394  3.482464 3.48
42 2.323023 -1.155657  3.478679 3.48
43 2.322930 -1.150758  3.473688 3.47
44 2.322806 -1.143502  3.466308 3.47
45 2.322676 -1.132266  3.454942 3.45
46 2.322568 -1.115378  3.437945 3.44
47 2.322510 -1.091555  3.414065 3.41
48 2.322523 -1.060327  3.382850 3.38
49 2.322615 -1.022342  3.344957 3.34
50 2.322774 -0.979463  3.302236 3.30
51 2.322969 -0.934577  3.257545 3.26
52 2.323158 -0.891125  3.214284 3.21
53 2.323301 -0.852463  3.175764 3.18
54 2.323371 -0.821243  3.144615 3.14
55 2.323363 -0.799012  3.122376 3.12
56 2.323291 -0.786115  3.109406 3.11
57 2.323183 -0.781887  3.105070 3.11
58 2.323066 -0.785049  3.108115 3.11
59 2.322960 -0.794112  3.117072 3.12
60 2.322866 -0.807646  3.130512 3.13
61 2.677838 -0.823752  3.501590 3.50
62 2.677796 -0.839035  3.516832 3.52
63 2.677823 -0.852952  3.530776 3.53
