#Step   Etot   PotE Ktot  T
0 0.818299 -2.635247  3.453546 3.45
1 0.821144 -2.626611  3.447754 3.45
2 0.821111 -2.611992  3.433103 3.43
3 0.821065 -2.591024  3.412090 3.41
4 0.821006 -2.563187  3.384193 3.38
5 0.820934 -2.527816  3.348750 3.35
6 0.820852 -2.484128  3.304980 3.30
7 0.820764 -2.431257  3.252021 3.25
8 0.820677 -2.368327  3.189005 3.19
9 0.820603 -2.294561  3.115163 3.12
10 0.820555 -2.209441  3.029996 3.03
11 1.246939 -2.105674  3.352613 3.35
12 1.246987 -1.988933  3.235920 3.24
13 1.247129 -1.860869  3.107998 3.11
14 1.247370 -1.724565  2.971935 2.97
15 1.247684 -1.584521  2.832205 2.83
16 1.248021 -1.446235  2.694256 2.69
17 1.248322 -1.315423  2.563745 2.56
18 1.248548 -1.197161  2.445710 2.45
19 1.248691 -1.095289  2.343979 2.34
20 1.248761 -1.012244  2.261005 2.26
21 2.444206 -0.930041  3.374246 3.37
22 2.444227 -0.864644  3.308871 3.31
23 2.444210 -0.816237  3.260448 3.26
24 2.444142 -0.784381  3.228523 3.23
25 2.444018 -0.767836  3.211853 3.21
26 2.443843 -0.764516  3.208359 3.21
27 2.443636 -0.771604  3.215240 3.22
28 2.443418 -0.785801  3.229219 3.23
29 2.443214 -0.803679  3.246892 3.25
30 2.443048 -0.822051  3.265100 3.27
31 2.634246 -0.838275  3.472521 3.47
32 2.634206 -0.849564  3.483770 3.48
33 2.634229 -0.855290  3.489519 3.49
34 2.634287 -0.855784  3.490071 3.49
35 2.634342 -0.851929  3.486271 3.49
36 2.634359 -0.844598  3.478957 3.48
37 2.634328 -0.834154  3.468482 3.47
38 2.634265 -0.820288  3.454554 3.45
39 2.634207 -0.802261  3.436468 3.44
40 2.634187 -0.779415  3.413601 3.41
41 2.677032 -0.751365  3.428397 3.43
42 2.677128 -0.718921  3.396049 3.40
43 2.677267 -0.683768  3.361035 3.36
44 2.677424 -0.648261  3.325685 3.33
45 2.677572 -0.615056  3.292628 3.29
46 2.677688 -0.586712  3.264400 3.26
47 2.677757 -0.565329  3.243086 3.24
48 2.677776 -0.552307  3.230082 3.23
49 2.677756 -0.548286  3.226042 3.23
50 2.677719 -0.553295  3.231014 3.23
51 2.903080 -0.566650  3.469730 3.47
52 2.903064 -0.586991  3.490055 3.49
53 2.903045 -0.614094  3.517139 3.52
54 2.902991 -0.647577  3.550568 3.55
55 2.902875 -0.686441  3.589316 3.59
56 2.902700 -0.728731  3.631430 3.63
57 2.902493 -0.771593  3.674086 3.67
58 2.902295 -0.811705  3.714000 3.71
59 2.902140 -0.845887  3.748028 3.75
60 2.902050 -0.871642  3.773692 3.77
61 2.584746 -0.887849  3.472595 3.47
62 2.584788 -0.896317  3.481105 3.48
63 2.584886 -0.897735  3.482621 3.48
64 2.585026 -0.893701  3.478727 3.48
65 2.585190 -0.886498  3.471688 3.47
66 2.585356 -0.878796  3.464152 3.46
67 2.585503 -0.873303  3.458806 3.46
68 2.585612 -0.872423  3.458035 3.46
69 2.585666 -0.877940  3.463607 3.46
70 2.585652 -0.890756  3.476407 3.48
71 2.565559 -0.910679  3.476238 3.48
72 2.565382 -0.936364  3.501746 3.50
73 2.565128 -0.965059  3.530187 3.53
74 2.564819 -0.992844  3.557663 3.56
75 2.564496 -1.014996  3.579492 3.58
76 2.564207 -1.026625  3.590832 3.59
77 2.563999 -1.023444  3.587442 3.59
78 2.563898 -1.002480  3.566378 3.57
79 2.563914 -0.962538  3.526452 3.53
80 2.564046 -0.904379  3.468424 3.47
81 2.552285 -0.830929  3.383215 3.38
82 2.552685 -0.746965  3.299650 3.30
83 2.553240 -0.659599  3.212839 3.21
84 2.553895 -0.578202  3.132096 3.13
85 2.554483 -0.513333  3.067816 3.07
86 2.554791 -0.474177  3.028968 3.03
87 2.554710 -0.465414  3.020124 3.02
88 2.554329 -0.485685  3.040014 3.04
89 2.553849 -0.528839  3.082688 3.08
90 2.553432 -0.586855  3.140287 3.14
91 2.869270 -0.654151  3.523421 3.52
92 2.869095 -0.720733  3.589828 3.59
93 2.868981 -0.782674  3.651655 3.65
94 2.868897 -0.837181  3.706078 3.71
95 2.868826 -0.882148  3.750974 3.75
96 2.868762 -0.915933  3.784695 3.78
97 2.868699 -0.937235  3.805935 3.81
98 2.868639 -0.945035  3.813673 3.81
99 2.868596 -0.938636  3.807232 3.81
100 2.868604 -0.917912  3.786516 3.79
101 2.538603 -0.886416  3.425019 3.43
102 2.538812 -0.846764  3.385576 3.39
103 2.539117 -0.803042  3.342159 3.34
104 2.539480 -0.760765  3.300246 3.30
105 2.539846 -0.726244  3.266090 3.27
106 2.540149 -0.705645  3.245794 3.25
107 2.540316 -0.703903  3.244219 3.24
108 2.540286 -0.723593  3.263879 3.26
109 2.540046 -0.764035  3.304081 3.30
110 2.539655 -0.821142  3.360797 3.36
111 2.634832 -0.888913  3.523745 3.52
112 2.634458 -0.958724  3.593182 3.59
113 2.634192 -1.023947  3.658139 3.66
114 2.634034 -1.079574  3.713608 3.71
115 2.633967 -1.122367  3.756334 3.76
116 2.633979 -1.150699  3.784678 3.78
117 2.634065 -1.164398  3.798463 3.80
118 2.634224 -1.164666  3.798890 3.80
119 2.634437 -1.153983  3.788421 3.79
120 2.634663 -1.135769  3.770432 3.77
121 2.320815 -1.115587  3.436403 3.44
122 2.320903 -1.096543  3.417446 3.42
123 2.320902 -1.080301  3.401203 3.40
124 2.320853 -1.067192  3.388046 3.39
125 2.320808 -1.056755  3.377563 3.38
126 2.320799 -1.048463  3.369262 3.37
127 2.320829 -1.042205  3.363034 3.36
128 2.320881 -1.038363  3.359244 3.36
129 2.320930 -1.037593  3.358522 3.36
130 2.320948 -1.040471  3.361419 3.36
131 2.415899 -1.046893  3.462792 3.46
132 2.415783 -1.055799  3.471582 3.47
133 2.415582 -1.065394  3.480976 3.48
134 2.415313 -1.072736  3.488049 3.49
135 2.415016 -1.074020  3.489036 3.49
