#Step   Etot   PotE Ktot  T
0 0.847439 -2.635231  3.482670 3.48
10 0.846526 -2.153792  3.000319 3.00
20 0.848972 -0.956270  1.805242 1.81
30 0.846815 -1.270610  2.117425 2.12
40 0.847700 -1.193133  2.040833 2.04
50 0.847599 -1.283629  2.131228 2.13
60 0.847396 -1.580762  2.428158 2.43
70 0.847562 -1.671321  2.518883 2.52
80 0.847590 -1.742478  2.590068 2.59
90 0.847502 -1.809447  2.656949 2.66
100 0.847576 -1.684321  2.531897 2.53
110 0.847520 -1.603624  2.451145 2.45
120 0.847668 -1.627235  2.474903 2.47
130 0.847190 -1.646389  2.493578 2.49
140 0.848082 -1.313216  2.161297 2.16
150 0.846900 -1.620208  2.467108 2.47
160 0.847185 -1.558721  2.405906 2.41
170 0.847631 -1.386379  2.234010 2.23
180 0.847257 -1.569828  2.417085 2.42
190 0.847502 -1.503381  2.350883 2.35
200 0.847580 -1.496875  2.344455 2.34
210 0.847302 -1.563276  2.410578 2.41
220 0.847650 -1.485540  2.333190 2.33
230 0.847299 -1.691275  2.538574 2.54
240 0.847547 -1.725596  2.573143 2.57
250 0.847372 -1.698327  2.545699 2.55
260 0.847423 -1.600128  2.447551 2.45
270 0.847626 -1.530281  2.377907 2.38
280 0.847355 -1.640188  2.487543 2.49
290 0.847100 -1.490290  2.337390 2.34
300 0.847305 -1.418514  2.265819 2.27
310 0.847214 -1.517799  2.365013 2.37
320 0.847704 -1.419520  2.267224 2.27
330 0.847314 -1.600772  2.448086 2.45
340 0.847739 -1.571783  2.419522 2.42
350 0.847557 -1.637401  2.484958 2.48
360 0.847539 -1.678109  2.525648 2.53
370 0.847474 -1.696702  2.544176 2.54
380 0.847387 -1.600526  2.447913 2.45
390 0.847555 -1.403161  2.250716 2.25
400 0.847502 -1.424006  2.271508 2.27
410 0.847106 -1.639214  2.486321 2.49
420 0.847378 -1.550457  2.397835 2.40
430 0.847811 -1.332724  2.180535 2.18
440 0.847030 -1.501905  2.348936 2.35
450 0.847368 -1.438546  2.285914 2.29
460 0.847229 -1.468438  2.315667 2.32
470 0.847644 -1.446639  2.294282 2.29
480 0.847565 -1.550936  2.398502 2.40
490 0.847339 -1.762274  2.609613 2.61
500 0.846983 -1.638254  2.485238 2.49
510 0.847576 -1.431508  2.279084 2.28
520 0.847392 -1.660664  2.508056 2.51
530 0.847346 -1.603010  2.450357 2.45
540 0.847490 -1.515069  2.362559 2.36
550 0.847143 -1.542364  2.389507 2.39
560 0.847652 -1.411065  2.258717 2.26
570 0.847624 -1.451356  2.298980 2.30
580 0.847324 -1.564583  2.411907 2.41
590 0.847678 -1.578180  2.425858 2.43
600 0.847228 -1.588000  2.435227 2.44
610 0.847841 -1.324136  2.171977 2.17
620 0.847551 -1.339993  2.187543 2.19
630 0.847664 -1.372263  2.219927 2.22
640 0.847149 -1.612924  2.460073 2.46
650 0.847554 -1.580042  2.427596 2.43
660 0.847384 -1.519663  2.367047 2.37
670 0.847586 -1.467248  2.314833 2.31
680 0.847198 -1.539700  2.386898 2.39
690 0.847584 -1.399942  2.247526 2.25
700 0.847474 -1.348599  2.196073 2.20
710 0.847444 -1.467787  2.315231 2.32
720 0.847504 -1.563251  2.410755 2.41
730 0.847485 -1.519100  2.366585 2.37
740 0.847546 -1.355924  2.203471 2.20
750 0.847601 -1.453584  2.301185 2.30
760 0.847265 -1.704478  2.551744 2.55
770 0.847372 -1.687486  2.534858 2.53
780 0.847604 -1.676442  2.524046 2.52
790 0.847388 -1.691292  2.538680 2.54
800 0.847410 -1.585224  2.432634 2.43
810 0.847446 -1.521879  2.369326 2.37
820 0.847429 -1.594351  2.441780 2.44
830 0.847584 -1.662999  2.510583 2.51
840 0.847321 -1.740492  2.587813 2.59
850 0.847336 -1.576583  2.423918 2.42
860 0.847464 -1.388007  2.235470 2.24
870 0.847530 -1.427960  2.275490 2.28
880 0.847144 -1.624270  2.471414 2.47
890 0.847646 -1.562419  2.410065 2.41
900 0.847531 -1.597838  2.445370 2.45
910 0.847245 -1.589627  2.436872 2.44
920 0.847566 -1.582378  2.429945 2.43
930 0.847434 -1.786153  2.633587 2.63
940 0.847475 -1.769913  2.617388 2.62
950 0.847711 -1.655096  2.502807 2.50
960 0.847495 -1.689401  2.536896 2.54
970 0.847505 -1.669153  2.516658 2.52
980 0.847259 -1.635632  2.482892 2.48
990 0.847660 -1.466670  2.314330 2.31
