#Step   Etot   PotE Ktot  T
0 0.818285 -2.635569  3.453854 3.45
1 0.818255 -2.627798  3.446053 3.45
2 0.818210 -2.614436  3.432646 3.43
3 0.818151 -2.594966  3.413116 3.41
4 0.818076 -2.568702  3.386778 3.39
5 0.817985 -2.534794  3.352778 3.35
6 0.817880 -2.492232  3.310113 3.31
7 0.817766 -2.439894  3.257660 3.26
8 0.817651 -2.376613  3.194264 3.19
9 0.817548 -2.301316  3.118864 3.12
10 0.817479 -2.213238  3.030716 3.03
11 0.817470 -2.112234  2.929704 2.93
12 0.817554 -1.999177  2.816731 2.82
13 0.817756 -1.876378  2.694134 2.69
14 0.818080 -1.747909  2.565989 2.57
15 0.818500 -1.619609  2.438108 2.44
16 0.818947 -1.498595  2.317542 2.32
17 0.819330 -1.392217  2.211547 2.21
18 0.819564 -1.306674  2.126238 2.13
19 0.819608 -1.245767  2.065375 2.07
20 0.819477 -1.210285  2.029762 2.03
21 0.819228 -1.198219  2.017447 2.02
22 0.818934 -1.205614  2.024548 2.02
23 0.818653 -1.227641  2.046294 2.05
24 0.818417 -1.259511  2.077928 2.08
25 0.818237 -1.297020  2.115258 2.12
26 0.818107 -1.336763  2.154870 2.15
27 0.818015 -1.376099  2.194114 2.19
28 0.817949 -1.413016  2.230965 2.23
29 0.817901 -1.445980  2.263881 2.26
30 0.817868 -1.473830  2.291698 2.29
31 0.817851 -1.495733  2.313584 2.31
32 0.817853 -1.511189  2.329041 2.33
33 0.817877 -1.520075  2.337953 2.34
34 0.817926 -1.522689  2.340615 2.34
35 0.817997 -1.519748  2.337744 2.34
36 0.818080 -1.512336  2.330416 2.33
37 0.818165 -1.501764  2.319928 2.32
38 0.818238 -1.489381  2.307620 2.31
39 0.818293 -1.476389  2.294681 2.29
40 0.818323 -1.463694  2.282018 2.28
41 0.818331 -1.451846  2.270177 2.27
42 0.818317 -1.441026  2.259343 2.26
43 0.818287 -1.431087  2.249374 2.25
44 0.818247 -1.421623  2.239870 2.24
45 0.818204 -1.412063  2.230267 2.23
46 0.818168 -1.401794  2.219962 2.22
47 0.818146 -1.390299  2.208445 2.21
48 0.818146 -1.377281  2.195427 2.20
49 0.818173 -1.362777  2.180950 2.18
50 0.818229 -1.347229  2.165458 2.17
51 0.818310 -1.331510  2.149820 2.15
52 0.818409 -1.316868  2.135277 2.14
53 0.818508 -1.304785  2.123293 2.12
54 0.818588 -1.296733  2.115320 2.12
55 0.818628 -1.293864  2.112492 2.11
56 0.818617 -1.296729  2.115346 2.12
57 0.818553 -1.305098  2.123651 2.12
58 0.818447 -1.317948  2.136395 2.14
59 0.818316 -1.333622  2.151937 2.15
60 0.818177 -1.350085  2.168262 2.17
61 0.818048 -1.365213  2.183261 2.18
62 0.817940 -1.377044  2.194985 2.19
63 0.817863 -1.383982  2.201845 2.20
64 0.817824 -1.384944  2.202769 2.20
65 0.817830 -1.379489  2.197319 2.20
66 0.817887 -1.367912  2.185799 2.19
67 0.817998 -1.351336  2.169334 2.17
68 0.818159 -1.331727  2.149887 2.15
69 0.818355 -1.311809  2.130164 2.13
70 0.818559 -1.294799  2.113358 2.11
71 0.818734 -1.283972  2.102706 2.10
72 0.818849 -1.282116  2.100965 2.10
73 0.818883 -1.291033  2.109916 2.11
74 0.818830 -1.311210  2.130040 2.13
75 0.818699 -1.341725  2.160424 2.16
76 0.818517 -1.380403  2.198920 2.20
77 0.818316 -1.424211  2.242527 2.24
78 0.818132 -1.469773  2.287905 2.29
79 0.817987 -1.513905  2.331892 2.33
80 0.817893 -1.554003  2.371896 2.37
81 0.817849 -1.588238  2.406086 2.41
82 0.817848 -1.615576  2.433424 2.43
83 0.817881 -1.635698  2.453580 2.45
84 0.817941 -1.648870  2.466811 2.47
85 0.818017 -1.655808  2.473825 2.47
86 0.818101 -1.657544  2.475645 2.48
87 0.818185 -1.655282  2.473466 2.47
88 0.818257 -1.650243  2.468500 2.47
89 0.818310 -1.643518  2.461828 2.46
90 0.818338 -1.635929  2.454267 2.45
91 0.818339 -1.627947  2.446287 2.45
92 0.818317 -1.619668  2.437985 2.44
93 0.818278 -1.610853  2.429132 2.43
94 0.818232 -1.601030  2.419262 2.42
95 0.818186 -1.589620  2.407806 2.41
96 0.818151 -1.576083  2.394234 2.39
97 0.818133 -1.560051  2.378184 2.38
98 0.818139 -1.541443  2.359582 2.36
99 0.818174 -1.520560  2.338733 2.34
100 0.818239 -1.498143  2.316382 2.32
101 0.818334 -1.475406  2.293740 2.29
102 0.818451 -1.453997  2.272448 2.27
103 0.818578 -1.435878  2.254456 2.25
104 0.818693 -1.423108  2.241801 2.24
105 0.818773 -1.417518  2.236292 2.24
106 0.818802 -1.420376  2.239178 2.24
107 0.818774 -1.432120  2.250893 2.25
108 0.818695 -1.452271  2.270967 2.27
109 0.818585 -1.479552  2.298137 2.30
110 0.818464 -1.512149  2.330613 2.33
111 0.818350 -1.548029  2.366378 2.37
112 0.818254 -1.585222  2.403476 2.40
113 0.818180 -1.622008  2.440189 2.44
114 0.818128 -1.656999  2.475126 2.48
115 0.818092 -1.689133  2.507224 2.51
116 0.818066 -1.717627  2.535693 2.54
117 0.818047 -1.741899  2.559946 2.56
118 0.818031 -1.761510  2.579541 2.58
119 0.818017 -1.776117  2.594135 2.59
