#Step   Etot   PotE Ktot  T
0 -1.962357 -2.637551  0.675193 0.68
1 -1.962359 -2.635878  0.673519 0.67
2 -1.962360 -2.633072  0.670711 0.67
3 -1.962362 -2.629116  0.666753 0.67
4 -1.962365 -2.623991  0.661627 0.66
5 -1.962367 -2.617680  0.655313 0.66
6 -1.962369 -2.610161  0.647791 0.65
7 -1.962372 -2.601417  0.639045 0.64
8 -1.962374 -2.591435  0.629061 0.63
9 -1.962376 -2.580207  0.617831 0.62
10 -1.962377 -2.567733  0.605356 0.61
11 -1.962377 -2.554027  0.591650 0.59
12 -1.962376 -2.539120  0.576744 0.58
13 -1.962373 -2.523062  0.560689 0.56
14 -1.962368 -2.505929  0.543561 0.54
15 -1.962362 -2.487830  0.525468 0.53
16 -1.962352 -2.468902  0.506550 0.51
17 -1.962341 -2.449324  0.486983 0.49
18 -1.962327 -2.429307  0.466980 0.47
19 -1.962311 -2.409097  0.446787 0.45
20 -1.962293 -2.388969  0.426676 0.43
21 -1.962275 -2.369216  0.406941 0.41
22 -1.962258 -2.350137  0.387880 0.39
23 -1.962241 -2.332024  0.369783 0.37
24 -1.962227 -2.315147  0.352920 0.35
25 -1.962215 -2.299741  0.337526 0.34
26 -1.962207 -2.285996  0.323789 0.32
27 -1.962201 -2.274050  0.311849 0.31
28 -1.962199 -2.263993  0.301794 0.30
29 -1.962199 -2.255860  0.293661 0.29
30 -1.962202 -2.249648  0.287447 0.29
31 -1.962206 -2.245313  0.283107 0.28
32 -1.962211 -2.242783  0.280571 0.28
33 -1.962218 -2.241961  0.279743 0.28
34 -1.962225 -2.242735  0.280510 0.28
35 -1.962233 -2.244980  0.282747 0.28
36 -1.962241 -2.248558  0.286317 0.29
37 -1.962249 -2.253329  0.291080 0.29
38 -1.962257 -2.259147  0.296890 0.30
39 -1.962266 -2.265863  0.303597 0.30
40 -1.962274 -2.273327  0.311053 0.31
41 -1.962282 -2.281391  0.319109 0.32
42 -1.962290 -2.289911  0.327621 0.33
43 -1.962297 -2.298745  0.336448 0.34
44 -1.962304 -2.307758  0.345454 0.35
45 -1.962311 -2.316822  0.354511 0.35
46 -1.962316 -2.325817  0.363501 0.36
47 -1.962322 -2.334634  0.372313 0.37
48 -1.962326 -2.343174  0.380847 0.38
49 -1.962330 -2.351347  0.389017 0.39
50 -1.962334 -2.359077  0.396744 0.40
51 -1.962336 -2.366300  0.403964 0.40
52 -1.962338 -2.372962  0.410624 0.41
53 -1.962339 -2.379022  0.416683 0.42
54 -1.962340 -2.384452  0.422112 0.42
55 -1.962340 -2.389233  0.426894 0.43
56 -1.962339 -2.393360  0.431021 0.43
57 -1.962338 -2.396835  0.434497 0.43
58 -1.962336 -2.399672  0.437336 0.44
59 -1.962334 -2.401893  0.439559 0.44
60 -1.962331 -2.403528  0.441197 0.44
61 -1.962328 -2.404615  0.442287 0.44
62 -1.962325 -2.405198  0.442873 0.44
63 -1.962321 -2.405324  0.443003 0.44
64 -1.962318 -2.405048  0.442730 0.44
65 -1.962314 -2.404426  0.442112 0.44
66 -1.962310 -2.403517  0.441206 0.44
67 -1.962307 -2.402380  0.440073 0.44
68 -1.962303 -2.401076  0.438773 0.44
69 -1.962299 -2.399666  0.437366 0.44
70 -1.962296 -2.398207  0.435911 0.44
71 -1.962293 -2.396758  0.434465 0.43
72 -1.962290 -2.395371  0.433081 0.43
73 -1.962287 -2.394097  0.431810 0.43
74 -1.962284 -2.392984  0.430699 0.43
75 -1.962282 -2.392071  0.429788 0.43
76 -1.962281 -2.391394  0.429114 0.43
77 -1.962279 -2.390984  0.428704 0.43
78 -1.962279 -2.390861  0.428582 0.43
79 -1.962278 -2.391040  0.428762 0.43
80 -1.962279 -2.391527  0.429249 0.43
81 -1.962280 -2.392319  0.430039 0.43
82 -1.962281 -2.393403  0.431123 0.43
83 -1.962283 -2.394761  0.432478 0.43
84 -1.962285 -2.396363  0.434078 0.43
85 -1.962288 -2.398176  0.435888 0.44
86 -1.962290 -2.400159  0.437868 0.44
87 -1.962293 -2.402267  0.439974 0.44
88 -1.962296 -2.404455  0.442158 0.44
89 -1.962299 -2.406673  0.444373 0.44
90 -1.962302 -2.408874  0.446571 0.45
91 -1.962305 -2.411011  0.448706 0.45
92 -1.962308 -2.413039  0.450732 0.45
93 -1.962310 -2.414918  0.452608 0.45
94 -1.962312 -2.416609  0.454297 0.45
95 -1.962314 -2.418080  0.455766 0.46
96 -1.962315 -2.419300  0.456984 0.46
97 -1.962317 -2.420246  0.457930 0.46
98 -1.962317 -2.420900  0.458583 0.46
99 -1.962318 -2.421250  0.458932 0.46
100 -1.962318 -2.421289  0.458971 0.46
101 -1.962318 -2.421017  0.458699 0.46
102 -1.962317 -2.420441  0.458124 0.46
103 -1.962316 -2.419576  0.457260 0.46
104 -1.962314 -2.418442  0.456127 0.46
105 -1.962312 -2.417066  0.454754 0.45
106 -1.962310 -2.415484  0.453174 0.45
107 -1.962307 -2.413737  0.451429 0.45
108 -1.962304 -2.411870  0.449566 0.45
109 -1.962301 -2.409936  0.447635 0.45
110 -1.962298 -2.407992  0.445694 0.45
111 -1.962294 -2.406096  0.443802 0.44
112 -1.962290 -2.404310  0.442020 0.44
113 -1.962287 -2.402696  0.440410 0.44
114 -1.962283 -2.401316  0.439033 0.44
115 -1.962280 -2.400227  0.437946 0.44
116 -1.962277 -2.399480  0.437203 0.44
117 -1.962275 -2.399122  0.436846 0.44
118 -1.962274 -2.399185  0.436911 0.44
119 -1.962274 -2.399693  0.437419 0.44
120 -1.962274 -2.400651  0.438377 0.44
121 -1.962276 -2.402052  0.439776 0.44
122 -1.962279 -2.403868  0.441589 0.44
