#Step   Etot   PotE Ktot  T
0 0.818304 -2.635731  3.454035 3.45
1 0.820667 -2.628590  3.449257 3.45
2 0.820643 -2.616558  3.437201 3.44
3 0.820605 -2.599363  3.419968 3.42
4 0.820553 -2.576577  3.397131 3.40
5 0.820487 -2.547617  3.368104 3.37
6 0.820407 -2.511748  3.332155 3.33
7 0.820317 -2.468112  3.288429 3.29
8 0.820225 -2.415797  3.236022 3.24
9 0.820146 -2.353964  3.174109 3.17
10 0.820103 -2.282085  3.102188 3.10
11 1.174326 -2.195215  3.369541 3.37
12 1.174437 -2.097936  3.272373 3.27
13 1.174674 -1.992943  3.167617 3.17
14 1.175007 -1.884756  3.059763 3.06
15 1.175347 -1.779165  2.954513 2.95
16 1.175586 -1.681882  2.857468 2.86
17 1.175659 -1.596933  2.772591 2.77
18 1.175585 -1.525730  2.701315 2.70
19 1.175438 -1.467322  2.642760 2.64
20 1.175289 -1.419444  2.594733 2.59
21 2.036865 -1.371040  3.407905 3.41
22 2.036817 -1.325001  3.361818 3.36
23 2.036786 -1.280140  3.316925 3.32
24 2.036745 -1.235650  3.272395 3.27
25 2.036688 -1.190773  3.227460 3.23
26 2.036628 -1.144712  3.181340 3.18
27 2.036602 -1.096861  3.133463 3.13
28 2.036663 -1.047332  3.083995 3.08
29 2.036849 -0.997659  3.034508 3.03
30 2.037134 -0.951219  2.988353 2.99
31 2.505483 -0.908379  3.413862 3.41
32 2.505608 -0.875930  3.381538 3.38
33 2.505460 -0.855950  3.361411 3.36
34 2.505104 -0.846444  3.351549 3.35
35 2.504716 -0.842258  3.346974 3.35
36 2.504439 -0.837591  3.342030 3.34
37 2.504323 -0.828199  3.332522 3.33
38 2.504342 -0.812260  3.316603 3.32
39 2.504451 -0.790148  3.294599 3.29
40 2.504620 -0.763833  3.268453 3.27
41 2.692804 -0.734985  3.427788 3.43
42 2.693110 -0.707928  3.401038 3.40
43 2.693491 -0.688104  3.381595 3.38
44 2.693866 -0.681883  3.375749 3.38
45 2.694084 -0.695254  3.389338 3.39
46 2.694001 -0.731544  3.425545 3.43
47 2.693606 -0.789384  3.482990 3.48
48 2.693046 -0.862563  3.555609 3.56
49 2.692527 -0.942138  3.634665 3.63
50 2.692187 -1.019440  3.711627 3.71
51 2.436818 -1.086595  3.523413 3.52
52 2.436810 -1.143752  3.580563 3.58
53 2.436878 -1.189735  3.626613 3.63
54 2.436968 -1.224690  3.661659 3.66
55 2.437055 -1.249337  3.686392 3.69
56 2.437136 -1.264570  3.701706 3.70
57 2.437218 -1.271379  3.708596 3.71
58 2.437310 -1.270928  3.708238 3.71
59 2.437411 -1.264638  3.702049 3.70
60 2.437506 -1.254135  3.691641 3.69
61 2.202336 -1.241947  3.444282 3.44
62 2.202340 -1.229367  3.431708 3.43
63 2.202278 -1.216710  3.418989 3.42
64 2.202167 -1.203361  3.405528 3.41
65 2.202042 -1.188021  3.390062 3.39
66 2.201946 -1.169238  3.371184 3.37
67 2.201916 -1.146047  3.347963 3.35
68 2.201977 -1.118522  3.320499 3.32
69 2.202135 -1.088129  3.290264 3.29
70 2.202370 -1.057793  3.260163 3.26
71 2.398886 -1.030126  3.429012 3.43
72 2.399117 -1.009925  3.409041 3.41
73 2.399225 -1.001034  3.400259 3.40
74 2.399167 -1.005412  3.404579 3.40
75 2.398962 -1.022460  3.421421 3.42
76 2.398695 -1.049313  3.448008 3.45
77 2.398470 -1.082053  3.480523 3.48
78 2.398344 -1.117171  3.515516 3.52
79 2.398304 -1.152421  3.550725 3.55
80 2.398291 -1.186669  3.584960 3.58
81 2.269705 -1.218952  3.488657 3.49
82 2.269662 -1.249263  3.518925 3.52
83 2.269650 -1.276434  3.546084 3.55
84 2.269689 -1.299719  3.569408 3.57
85 2.269766 -1.319122  3.588889 3.59
86 2.269841 -1.335240  3.605081 3.61
87 2.269873 -1.348718  3.618591 3.62
88 2.269839 -1.359698  3.629537 3.63
89 2.269737 -1.367486  3.637222 3.64
90 2.269580 -1.370531  3.640111 3.64
91 2.085700 -1.367194  3.452894 3.45
92 2.085519 -1.355641  3.441161 3.44
93 2.085372 -1.333703  3.419075 3.42
94 2.085308 -1.299942  3.385250 3.39
95 2.085388 -1.254398  3.339786 3.34
96 2.085665 -1.199448  3.285113 3.29
97 2.086134 -1.140450  3.226585 3.23
98 2.086692 -1.085479  3.172172 3.17
99 2.087159 -1.043649  3.130808 3.13
100 2.087375 -1.022404  3.109779 3.11
101 2.087294 -1.025174  3.112468 3.11
102 2.086986 -1.050646  3.137632 3.14
