#Step   Etot   PotE Ktot  T
0 0.818292 -2.635597  3.453889 3.45
1 0.820788 -2.627960  3.448748 3.45
2 0.820752 -2.614926  3.435678 3.44
3 0.820701 -2.596072  3.416773 3.42
4 0.820635 -2.570816  3.391451 3.39
5 0.820554 -2.538412  3.358966 3.36
6 0.820460 -2.497967  3.318427 3.32
7 0.820356 -2.448472  3.268828 3.27
8 0.820253 -2.388880  3.209133 3.21
9 0.820164 -2.318254  3.138418 3.14
10 0.820114 -2.235992  3.056106 3.06
11 1.220404 -2.135520  3.355924 3.36
12 1.220503 -2.022392  3.242895 3.24
13 1.220736 -1.899223  3.119959 3.12
14 1.221091 -1.770613  2.991704 2.99
15 1.221500 -1.642850  2.864351 2.86
16 1.221859 -1.522863  2.744723 2.74
17 1.222075 -1.416653  2.638728 2.64
18 1.222119 -1.327935  2.550053 2.55
19 1.222031 -1.257700  2.479731 2.48
20 1.221885 -1.204798  2.426682 2.43
21 2.251463 -1.155933  3.407396 3.41
22 2.251378 -1.115123  3.366501 3.37
23 2.251344 -1.080831  3.332175 3.33
24 2.251364 -1.052382  3.303746 3.30
25 2.251449 -1.030010  3.281459 3.28
26 2.251586 -1.014953  3.266540 3.27
27 2.251710 -1.009191  3.260901 3.26
28 2.251711 -1.014416  3.266127 3.27
29 2.251517 -1.030486  3.282003 3.28
30 2.251163 -1.054420  3.305584 3.31
31 2.401600 -1.081083  3.482683 3.48
32 2.401334 -1.103686  3.505021 3.51
33 2.401272 -1.118199  3.519471 3.52
34 2.401410 -1.123579  3.524989 3.52
35 2.401681 -1.121778  3.523459 3.52
36 2.401977 -1.116752  3.518729 3.52
37 2.402185 -1.112850  3.515035 3.52
38 2.402243 -1.113177  3.515420 3.52
39 2.402159 -1.118648  3.520807 3.52
40 2.401995 -1.128073  3.530068 3.53
41 2.328166 -1.139129  3.467296 3.47
42 2.328041 -1.149570  3.477611 3.48
43 2.327989 -1.157477  3.485466 3.49
44 2.328017 -1.162028  3.490045 3.49
45 2.328107 -1.163603  3.491710 3.49
46 2.328217 -1.163508  3.491725 3.49
47 2.328288 -1.163332  3.491621 3.49
48 2.328281 -1.164104  3.492385 3.49
49 2.328195 -1.165698  3.493893 3.49
50 2.328069 -1.166840  3.494909 3.49
51 2.289455 -1.165785  3.455241 3.46
52 2.289385 -1.160948  3.450333 3.45
53 2.289362 -1.151256  3.440617 3.44
54 2.289375 -1.136385  3.425760 3.43
